col_idx,col_letter,excel_header,proposed_pg_name,proposed_pg_type,complexity,source_tables,sample_value,excel_formula
19,S,Use Latest,use_latest,TEXT,cross_sheet_simple,(scalar from drv_dash),Y,"=IF(B2="""","""",Dash!$AB$6)"
20,T,II Date,ii_date,TEXT,cross_sheet_simple,drv_ii,00:00:00,"=_xlfn.MAXIFS(II!C393:C10392,II!C393:C10392,""<="" & M2)"
21,U,ETF Date,etf_date,DATE,cross_sheet_simple,drv_etf,2025-12-28 00:00:00,"=_xlfn.MAXIFS(etf!C2:C9205,etf!C2:C9205,""<="" & M2)"
22,V,SSH Date,ssh_date,DATE,cross_sheet_simple,drv_ssh,2026-04-28 00:00:00,"=_xlfn.MAXIFS(ssH!B2:B5535,ssH!B2:B5535,""<="" &M2)"
23,W,FH Date,fh_date,DATE,cross_sheet_simple,"hist_f,(scalar from drv_dash)",2026-04-14 00:00:00,"=_xlfn.MAXIFS(F!D2:D5542,F!D2:D5542,""<="" & Dash!$AB$15)"
24,X,CS Date,cs_date,DATE,cross_sheet_simple,"hist_cs,(scalar from drv_dash)",2026-04-29 00:00:00,"=_xlfn.MAXIFS(CS!D2:D3247,CS!D2:D3247,""<="" & Dash!$AB$15)"
25,Y,RR Date,rr_date,DATE,cross_sheet_simple,hist_rr,2026-04-29 00:00:00,"=_xlfn.MAXIFS(RR!D2:D2586,RR!D2:D2586,""<="" &M2)"
26,Z,Sort Symbol,sort_symbol,NUMERIC,static_input,,854,854
27,AA,StandardDeviation,standarddeviation,NUMERIC,cross_sheet_lookup,drv_tw,4.32,"=_xlfn.XLOOKUP(N2&B2,TW!$D:$D,TW!$AF:$AF,"""")"
28,AB,Median SD,median_sd,NUMERIC,array_formula,,4.32,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0db96800>
29,AC,SDorMedian,sdormedian,NUMERIC,aggregate,,4.32,"=MIN(AA2,AB2)"
30,AD,SD%,sd,NUMERIC,arithmetic,,0.045112781954887216,=(AC2/D2)
31,AE,A_TrendValue,a_trendvalue,NUMERIC,cross_sheet_lookup,drv_td,87.19,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AY:$AY,"""")"
32,AF,A_TradeValue,a_tradevalue,NUMERIC,cross_sheet_lookup,drv_td,77.02,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AZ:$AZ,"""")"
33,AG,Trend_sd,trend_sd,NUMERIC,conditional,,1.9837962962962978,"=IF(D2=AE2,0.1,(D2-AE2)/AC2)"
34,AH,Trade_sd,trade_sd,NUMERIC,arithmetic,,4.337962962962965,=(D2-AF2)/AC2
35,AI,Trade_Trend_Sd,trade_trend_sd,NUMERIC,arithmetic,,-2.354166666666667,=(AF2-AE2)/AC2
36,AJ,A_BBHighLow,a_bbhighlow,NUMERIC,cross_sheet_lookup,drv_td,9651.01,"=_xlfn.XLOOKUP(M2&B2,TD!$D:$D,TD!$BD:$BD,"""")"
37,AK,BBHighLow_A,bbhighlow_a,NUMERIC,arithmetic,,9651,=TRUNC(AJ2)
38,AL,BBHighLow,bbhighlow,NUMERIC,arithmetic,,96.51,=AK2/100
39,AM,BBHighLowDays,bbhighlowdays,NUMERIC,arithmetic,,1,"=ABS(ROUND(100*(AJ2-AK2),0))"
40,AN,BB_Direction1,bb_direction1,NUMERIC,array_formula,,-1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0db96e60>
41,AO,BBHighLow_SD,bbhighlow_sd,NUMERIC,arithmetic,,-0.1736111111111111,=(D2-ABS(AL2))/ AC2
42,AP,A_BBHighLowDays,a_bbhighlowdays,NUMERIC,cross_sheet_lookup,drv_td,6.14,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$BE:$BE,"""")"
43,AQ,BBHighDays,bbhighdays,NUMERIC,arithmetic,,6,=TRUNC(AP2)
44,AR,BBLowDays,bblowdays,NUMERIC,arithmetic,,13.999999999999968,=ABS(100*(AP2-AQ2))
45,AS,A_BB_Streak,a_bb_streak,NUMERIC,cross_sheet_lookup,drv_td,8213.01,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$BC:$BC,"""")"
46,AT,BB_Streak_1,bb_streak_1,NUMERIC,arithmetic,,8213,=TRUNC(AS2)
47,AU,BB_Streak_2,bb_streak_2,NUMERIC,arithmetic,,213,=AT2-AY2*1000
48,AV,BB_Streak_cur,bb_streak_cur,NUMERIC,arithmetic,,2,=ABS(TRUNC(AU2/100))
49,AW,BB_Threshold_Crossover,bb_threshold_crossover,NUMERIC,conditional,,1,"=IF(AV2=1,-1,1)"
50,AX,BBThresh_CO_Days,bbthresh_co_days,NUMERIC,arithmetic,,13,"=_xlfn.NUMBERVALUE(RIGHT(AU2,2))"
51,AY,BB_Streak,bb_streak,NUMERIC,arithmetic,,8,=TRUNC(AT2/1000)
52,AZ,BB_Streak_Days,bb_streak_days,NUMERIC,arithmetic,,1,"=ROUND((ABS(AS2)-ABS(AT2))*100,0)"
53,BA,A_3mnLow,a_3mnlow,NUMERIC,cross_sheet_lookup,drv_tw,71.4,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AY:$AY,"""")"
54,BB,3mnLow_sd,c_3mnlow_sd,NUMERIC,arithmetic,,5.638888888888888,=(D2-BA2)/AC2
55,BC,3mnLowDays,c_3mnlowdays,NUMERIC,conditional,,40.00000000000057,"=IF(AND(BA2<1,BA2>-1),100*BA2,100*MOD(BA2,TRUNC(BA2)))"
56,BD,A_3mnHigh,a_3mnhigh,NUMERIC,cross_sheet_lookup,drv_tw,97.54,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AX:$AX,"""")"
57,BE,3mnHigh_sd,c_3mnhigh_sd,NUMERIC,arithmetic,,-0.41203703703703726,=(D2-BD2)/AC2
58,BF,3mnHighDays,c_3mnhighdays,NUMERIC,conditional,,54.000000000000625,"=IF(BD2<1,0,100*MOD(BD2,TRUNC(BD2)))"
59,BG,3mn_min_BRR%,c_3mn_min_brr,NUMERIC,conditional,,93.19051262433052,"=IF(D2<BD2,(D2-BA2)*100/(BD2-BA2),0)"
60,BH,A_3mnHighLow,a_3mnhighlow,NUMERIC,cross_sheet_lookup,drv_tw,-71.4,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AZ:$AZ,"""")"
61,BI,3mnHighLow,c_3mnhighlow,NUMERIC,arithmetic,,71.4,=ABS(BH2)
62,BJ,3mn_stk_outlook_sd,c_3mn_stk_outlook_sd,NUMERIC,arithmetic,,5.638888888888888,=(D2-BI2)/AC2
63,BK,3mnHighLowDays,c_3mnhighlowdays,NUMERIC,conditional,,40.00000000000057,"=-100*IFERROR(MOD(BH2,TRUNC(BH2)),0)"
64,BL,A_3wkHighLow,a_3wkhighlow,NUMERIC,cross_sheet_lookup,drv_tw,-77.13,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$BA:$BA,"""")"
65,BM,3wkHighLow,c_3wkhighlow,NUMERIC,arithmetic,,77.13,=ABS(BL2)
66,BN,3w_stk_outlook_sd,c_3w_stk_outlook_sd,NUMERIC,arithmetic,,4.312500000000002,=(D2-BM2)/AC2
67,BO,3wkHighLowDays,c_3wkhighlowdays,NUMERIC,conditional,,12.999999999999545,"=IFERROR(-100*MOD(BL2,TRUNC(BL2)),0)"
68,BP,Perf3M,perf3m,NUMERIC,arithmetic,,9.829108842757204,=100*(D2-AE2)/AE2
69,BQ,Perf3M_sd,perf3m_sd,NUMERIC,arithmetic,,1.9837962962962978,=(D2-AE2)/AC2
70,BR,A_Perf2M,a_perf2m,NUMERIC,cross_sheet_lookup,drv_tw,29.51,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AU:$AU,"""")"
71,BS,Perf2M_sd,perf2m_sd,NUMERIC,arithmetic,,6.541383333333335,=BR2/(AD2*100)
72,BT,Perf3W,perf3w,NUMERIC,arithmetic,,24.33134250843938,=100*(D2-AF2)/AF2
73,BU,Perf3W_sd,perf3w_sd,NUMERIC,arithmetic,,4.337962962962965,=(D2-AF2)/AC2
74,BV,A_Perf2Wk,a_perf2wk,NUMERIC,cross_sheet_lookup,drv_tw,7.56,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AV:$AV,"""")"
75,BW,Perf2Wk_sd,perf2wk_sd,NUMERIC,arithmetic,,1.6758000000000002,=BV2/(AD2*100)
76,BX,A_Perf3D,a_perf3d,NUMERIC,cross_sheet_lookup,drv_tw,4.05,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AW:$AW,"""")"
77,BY,Perf3D_sd,perf3d_sd,NUMERIC,arithmetic,,0.89775,=BX2/($AD2*100)
78,BZ,Perf3D_Value,perf3d_value,NUMERIC,arithmetic,,92.03267659778953,=(100*D2)/(100+BX2)
79,CA,Perf1D_sd,perf1d_sd,NUMERIC,arithmetic,,1.0694444444444444,=G2/AC2
80,CB,Perf,perf,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da80580>
81,CC,52Low,c_52low,NUMERIC,cross_sheet_lookup,drv_tw,69.15,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AI:$AI,"""")"
82,CD,52High,c_52high,NUMERIC,cross_sheet_lookup,drv_tw,97.58,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AH:$AH,"""")"
83,CE,52-Wk High %,c_52_wk_high,NUMERIC,conditional,,6.401688357368954,"=IF((CD2-CC2)=0,0, (CD2-D2)*100/(CD2-CC2))"
84,CF,20 DMA,c_20_dma,NUMERIC,cross_sheet_lookup,drv_tw,86.92,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$H:$H,"""")"
85,CG,50 DMA,c_50_dma,NUMERIC,cross_sheet_lookup,drv_tw,82.11,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$I:$I,"""")"
86,CH,200 DMA,c_200_dma,NUMERIC,cross_sheet_lookup,drv_tw,82.69,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$J:$J,"""")"
87,CI,A_MACD_BRR,a_macd_brr,NUMERIC,cross_sheet_lookup,drv_tw,1,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$V:$V,"""")"
88,CJ,MACD_BRR,macd_brr,NUMERIC,arithmetic,,1,=ABS(CI2)
89,CK,A_MACDH_D_BRR,a_macdh_d_brr,NUMERIC,cross_sheet_lookup,drv_tw,0.81,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$W:$W,"""")"
90,CL,MACDH_BRR,macdh_brr,NUMERIC,arithmetic,,0.81,=ABS(CK2)
91,CM,A_MACDays_Streak,a_macdays_streak,NUMERIC,cross_sheet_lookup,drv_tw,1,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AM:$AM,"""")"
92,CN,D_Last,d_last,NUMERIC,cross_sheet_lookup,drv_td,95.76,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AP:$AP,"""")"
93,CO,D_%Change,d_change,NUMERIC,cross_sheet_lookup,drv_td,0.0507,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AR:$AR,"""")"
94,CP,D_Net Chng,d_net_chng,NUMERIC,cross_sheet_lookup,drv_td,4.62,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AQ:$AQ,"""")"
95,CQ,D_Open,d_open,NUMERIC,cross_sheet_lookup,drv_td,91.685,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AS:$AS,"""")"
96,CR,D_High,d_high,NUMERIC,cross_sheet_lookup,drv_td,96.51,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AT:$AT,"""")"
97,CS,D_Low,d_low,NUMERIC,cross_sheet_lookup,drv_td,91.02,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AU:$AU,"""")"
98,CT,D_RSI,d_rsi,NUMERIC,cross_sheet_lookup,drv_td,69.17,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$T:$T,"""")"
99,CU,D_IV,d_iv,NUMERIC,cross_sheet_lookup,drv_td,0.59,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AB:$AB,"""")"
100,CV,D_HV,d_hv,NUMERIC,cross_sheet_lookup,drv_td,0.46,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$X:$X,"""")"
101,CW,HVPercentile,hvpercentile,NUMERIC,cross_sheet_lookup,drv_td,74.1,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$R:$R,"""")"
102,CX,IVPercentile,ivpercentile,NUMERIC,cross_sheet_lookup,drv_td,96.4,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$Q:$Q,"""")"
103,CY,L_Last,l_last,NUMERIC,cross_sheet_lookup,drv_tl,95.76,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$L:$L,"""")"
104,CZ,L_Net Chng,l_net_chng,NUMERIC,cross_sheet_lookup,drv_tl,4.62,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$M:$M,"""")"
105,DA,L_%Change,l_change,NUMERIC,cross_sheet_lookup,drv_tl,0.0507,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$N:$N,"""")"
106,DB,L_Open,l_open,NUMERIC,cross_sheet_lookup,drv_tl,91.685,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$O:$O,"""")"
107,DC,L_High,l_high,NUMERIC,cross_sheet_lookup,drv_tl,96.51,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$P:$P,"""")"
108,DD,L_Low,l_low,NUMERIC,cross_sheet_lookup,drv_tl,91.02,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$Q:$Q,"""")"
109,DE,L_RSI,l_rsi,NUMERIC,cross_sheet_lookup,drv_tl,69.17,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$S:$S,"""")"
110,DF,L_ImpVolatility,l_impvolatility,NUMERIC,cross_sheet_lookup,drv_tl,0.59,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$H:$H,"""")"
111,DG,Y_Last Price,y_last_price,NUMERIC,cross_sheet_lookup,hist_y,95.76,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$K:$K,"""")"
112,DH,Y_Change,y_change,NUMERIC,cross_sheet_lookup,hist_y,4.62,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$L:$L,"""")"
113,DI,Y_Change(%),y_change,NUMERIC,cross_sheet_lookup,hist_y,0.0507,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$M:$M,"""")"
114,DJ,Y_Open,y_open,NUMERIC,cross_sheet_lookup,hist_y,91.54,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$N:$N,"""")"
115,DK,Y_High,y_high,NUMERIC,cross_sheet_lookup,hist_y,96.51,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$O:$O,"""")"
116,DL,Y_Low,y_low,NUMERIC,cross_sheet_lookup,hist_y,91.02,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$P:$P,"""")"
117,DM,Last,last,NUMERIC,cross_sheet_simple,"(scalar from drv_dash),(self-reference)",95.76,"=IF(Dash!$AB$24=""Y"",MA!DG2,MA!CY2)"
118,DN,Net Chng,net_chng,NUMERIC,cross_sheet_simple,"(scalar from drv_dash),(self-reference)",4.62,"=IF(Dash!$AB$24=""Y"",MA!DH2,MA!CZ2)"
119,DO,%Change,change,NUMERIC,cross_sheet_simple,"(scalar from drv_dash),(self-reference)",0.0507,"=IF(Dash!$AB$24=""Y"",MA!DI2,MA!DA2)"
120,DP,Open,open,NUMERIC,cross_sheet_simple,"(scalar from drv_dash),(self-reference)",91.685,"=IF(Dash!$AB$24=""Y"",MA!DJ2,MA!DB2)"
121,DQ,High,high,NUMERIC,cross_sheet_simple,"(scalar from drv_dash),(self-reference)",96.51,"=IF(Dash!$AB$24=""Y"",MA!DK2,MA!DC2)"
122,DR,Low,low,NUMERIC,cross_sheet_simple,"(scalar from drv_dash),(self-reference)",91.02,"=IF(Dash!$AB$24=""Y"",MA!DL2,MA!DD2)"
123,DS,RSI,rsi,NUMERIC,cross_sheet_simple,(scalar from drv_dash),69.17,"=IF(Dash!$AB$24=""Y"",DE2,CT2)"
124,DT,ImpVolatility,impvolatility,NUMERIC,cross_sheet_simple,(scalar from drv_dash),0.59,"=IF(Dash!$AB$24=""Y"",DF2,CU2)"
125,DU,BB_Bot_Prev,bb_bot_prev,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$L:$L,"""")"
126,DV,BB_Top_Prev,bb_top_prev,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$P:$P,"""")"
127,DW,BB BRR%,bb_brr,TEXT,conditional,,,"=IF(_xlfn.IFNA(DU2,"""")=0,"""",(D2-DU2)*100/(DV2-DU2))"
128,DX,RR_Bottom,rr_bottom,NUMERIC,cross_sheet_lookup,hist_rr,0,"=_xlfn.XLOOKUP(B2,RR!F:F,RR!H:H,0)"
129,DY,RR_Top,rr_top,NUMERIC,cross_sheet_lookup,hist_rr,0,"=_xlfn.XLOOKUP(B2,RR!F:F,RR!I:I,0)"
130,DZ,RR BRR%,rr_brr,TEXT,conditional,,,"=IF(_xlfn.IFNA(DX2,"""")=0,"""",(D2-DX2)*100/(DY2-DX2))"
131,EA,ETF_Bottom,etf_bottom,TEXT,cross_sheet_lookup,drv_etf,,"=_xlfn.XLOOKUP(U2&B2,etf!A:A,etf!E:E,"""")"
132,EB,ETF_Top,etf_top,TEXT,cross_sheet_lookup,drv_etf,,"=_xlfn.XLOOKUP(U2&B2,etf!A:A,etf!F:F,"""")"
