Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/22/2026,1630,AAPL,308.82,+1.26%,Information Technology,1.074,6.71,$8.74,311.4,193.46,289.35,270.55,261.55,1.0,1.0,0.55,"43,608,850",300027.16,4.450639635E7,4.366983528E7,-6.56,22.72,5.28,3.29,301.07,246.38,-246.38,-267.17,46.0,"4,535,749 M"
05/22/2026,1630,ABBV,215.70,+0.56%,Health Care,.3082,4.41,$11.29,244.81,181.715,207.32,208.31,219.23,2.0,0.87,1.0,"5,405,592",-100136.45,6736018.89,6690326.87,18.04,5.12,7.02,0.91,237.56,191.17,-191.17,-191.17,46.0,"381,097 M"
05/22/2026,1630,ABNB,132.35,-1.42%,Consumer Discretionary,1.202,3.24,$7.52,147.25,110.81,137.12,134.1,128.33,3.0,-0.37,0.21,"3,097,329",0.0,3644205.56,3928234.7,-1.99,1.81,-6.46,0.91,147.22,122.35,147.22,-128.02,50.0,"78,550 M"
05/22/2026,1630,ABR,5.57,-2.96%,Financials,1.14,0.96,$0.89,12.575,5.5,6.92,7.38,9.11,6.0,0.0,0.3,"6,088,202",-401162.09,3782956.67,4110726.27,83.22,-24.42,-22.75,-4.13,9.56,6.05,9.56,9.11,47.0,"1,071 M"
05/22/2026,1630,ABT,87.41,-0.41%,Health Care,.6373,1.9,$4.24,139.06,81.97,87.55,96.06,117.51,-1.0,0.49,-0.96,"9,516,308",-100135.45,1.307890277E7,1.217208622E7,-35.36,-16.0,3.66,-1.59,117.59,82.09,-82.09,-82.09,36.0,"152,252 M"
05/22/2026,1630,ACHC,23.18,+0.70%,Health Care,.7392,1.14,($3.23),30.1991,11.43,25.85,25.36,20.61,-6.0,-0.25,-0.06,"2,491,191",-100568.17,2980220.71,3293555.1,-40.43,2.16,-7.94,-6.98,30.14,16.62,30.14,30.14,45.0,"2,132 M"
05/22/2026,1630,ACHR,6.36,+3.92%,Industrials,2.845,0.26,($0.90),14.62,4.8,6.09,5.84,8.04,2.0,0.9,0.42,"79,202,306",200383.01,3.413961094E7,3.372071511E7,166.52,15.43,-1.85,7.61,8.58,5.38,-5.38,7.09,53.0,"4,852 M"
05/22/2026,1630,ACI,16.21,-0.37%,Consumer Staples,.2502,0.39,$0.97,22.78,15.545,16.43,16.84,17.67,-2.0,-0.37,-0.67,"6,495,312",-100131.09,6661438.31,6499365.29,73.01,-3.86,1.19,-5.76,19.62,16.08,-16.08,18.03,39.0,"8,016 M"
05/22/2026,1630,ADBE,244.76,+0.27%,Information Technology,1.444,6.76,$24.58,421.48,224.13,247.64,244.89,305.79,-2.0,-0.73,-0.54,"3,778,339",200143.49,5504943.13,5539346.58,-31.76,2.47,-3.27,-4.01,285.55,224.3,-224.3,265.03,13.0,"98,932 M"
05/22/2026,1630,ADYEY,11.030,+0.91%,Financials,2.35,0.34,$33.73,19.94,9.45,10.95,10.65,14.3,5.0,0.8,0.62,"490,555",100000.09,1720804.56,1881083.77,-21.93,8.03,-0.36,0.55,12.6,9.35,-9.35,-10.07,NaN,"34,785 M"
05/22/2026,1630,AFK,26.89,-0.19%,,.7375,0.79,<empty>,30.85,18.56,27.31,26.89,25.79,2.0,-0.46,0.36,"95,987",-200043.48,70796.02,88730.41,100.22,6.88,-5.18,2.17,31.61,24.44,-24.44,29.09,NaN,114 M
