Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/15/2026,1630,CANE,-.0303,90 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,CARR,1.357,"53,714 M",41.09,37.53,3.4802,9.9074,1.53,1.6516,Industrials,$2.00
05/15/2026,1630,CASY,.6379,"31,517 M",<empty>,34.82,5.8222,17.882,17.42,.36439,Consumer Staples,$17.98
05/15/2026,1630,CAT,1.562,"409,148 M",49.642,35.278,17.488,51.331,20.08,.85255,Industrials,$16.91
05/15/2026,1630,CAVA,1.881,"8,949 M",33.527,111.39,8.9591,8.6418,.54,<empty>,Consumer Discretionary,$0.23
05/15/2026,1630,CBRL,1.27,686 M,61.293,-156.53,1.5809,<empty>,-.2,3.3201,Consumer Discretionary,($0.96)
05/15/2026,1630,CCK,.6494,"10,737 M",59.304,15.939,3.7975,26.185,6.29,1.1272,Materials,$8.72
05/15/2026,1630,CCL,2.314,"34,130 M",62.876,14.142,3.3533,27.853,2.27,.47544,Consumer Discretionary,<empty>
05/15/2026,1630,CCRN,.4454,407 M,<empty>,-3.0667,.93881,<empty>,-3.05,<empty>,Health Care,<empty>
05/15/2026,1630,CELH,.9713,"7,710 M",18.143,80.641,7.2775,8.1189,.43,<empty>,Consumer Staples,$0.96
05/15/2026,1630,CF,.4559,"19,241 M",29.581,11.718,3.7336,27.3,11.1,1.5404,Materials,$10.23
05/15/2026,1630,CFG,.996,"25,737 M",<empty>,14.203,1.0618,7.7393,4.22,2.9348,Financials,$5.50
05/15/2026,1630,CFLT,.9658,"11,134 M",<empty>,-35.21,9.2116,<empty>,-.86,<empty>,Information Technology,$0.11
05/15/2026,1630,CFRUY,1.255,"115,648 M",22.702,24.973,4.2963,18.13,.8176,1.9355,Consumer Discretionary,$7.78
05/15/2026,1630,CG,1.892,"17,286 M",66.466,32.626,3.2225,<empty>,1.46,2.8932,Financials,<empty>
05/15/2026,1630,CHD,.4832,"22,285 M",35.847,30.756,5.2811,16.779,3.04,1.2832,Consumer Staples,$4.44
05/15/2026,1630,CHDN,.6964,"6,045 M",80.27,16.361,5.7125,<empty>,5.43,.48759,Consumer Discretionary,<empty>
05/15/2026,1630,CHEF,2.155,"3,276 M",58.208,32.521,3.9845,13.812,1.83,<empty>,Consumer Staples,<empty>
05/15/2026,1630,CHH,.6626,"4,865 M",93.884,13.935,34.063,<empty>,7.4,1.1111,Consumer Discretionary,<empty>
05/15/2026,1630,CHPT,1.778,162 M,80.327,-.63656,6.8387,-277.38,-9.41,<empty>,Industrials,($2.86)
