Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,RSI,HistoricalVolatility,ImpVolatility,A_TrendValue,A_TradeValue,A_BB_Bottom,A_BB_Top,A_BB_Streak,A_BBHighLow,A_BBHighLowDays,A_IVPercentile,A_HVPercentile,A_BB_Top_Slope,A_BB_Bot_Slope
06/02/2026,1630,$COMP,27093.9009,+7.0927,+0.03%,27030.072,27171.286,26932.7729,75.09,0.15,NaN,22061.97,25739.22,25942.64,27446.51,7209.01,2719021.02,2.45,0.0,39.1,1.7,8.3
06/02/2026,1630,$DJI,51307.79,+228.91,+0.45%,50912.84,51369.61,50829.55,70.6,0.1,NaN,46615.52,49307.66,49397.28,51758.06,8209.01,5136961.01,3.09,0.0,10.1,12.3,2.0
06/02/2026,1630,$DXY,99.199,-.002,0.00%,99.166,99.329,99.049,55.359,0.045,NaN,98.492,98.264,98.767,99.652,7101.09,9954.04,9.18,0.0,21.1,0.0,6.6
06/02/2026,1630,/6B[M26],1.3466,+.0009,+0.07%,1.3456,1.3482,1.3450,50.2181,0.0618,0.0583,1.3283,1.3314,1.3338,1.3539,1204.01,-133.11,16.11,10.1,43.1,-2.4,0.0
06/02/2026,1630,/6C[M26],.72295,+.0001,+0.01%,.72305,.72425,.72220,34.85291,0.02648,0.0454,0.72945,0.7272,0.71976,0.73101,-12119.04,-72.04,19.04,25.1,1.1,-1.3,-1.4
06/02/2026,1630,/6E[M26],1.16385,0,0.00%,1.16385,1.16630,1.16205,43.54554,0.04391,0.057,1.15105,1.16325,1.15649,1.17222,-7102.08,-116.08,15.08,15.1,19.1,-1.3,0.0
06/02/2026,1630,/6J[M26],.0062595,-.000007,-0.11%,.0062695,.0062720,.0062540,36.2859235,0.0467857,0.0913,0.006273,0.0063105,0.0062319,0.0063366,-4115.08,-1.01,18.1,43.1,1.1,0.0,0.0
06/02/2026,1630,/BTC[M26],67790,+395.00,+0.59%,67790,67790,67790,27.0,0.0,0.0,65685.0,76020.0,65942.0,77749.0,-11113.0,-6652500.0,19.0,71.0,19.0,-8.0,-13.0
06/02/2026,1630,/BZ[Q26],95.78,+.80,+0.84%,95.40,96.26,92.82,42.24,0.53,NaN,81.16,103.86,85.55,112.6,-4109.03,-8994.03,23.03,0.2,74.1,0.0,-5.1
06/02/2026,1630,/CL[N26],93.39,+1.23,+1.33%,92.45,94.00,90.12,46.33,0.48,0.59,74.97,97.23,83.77,104.33,-7109.02,-8635.03,23.03,61.1,71.1,0.0,-1.6
06/02/2026,1630,/GC[Q26],4519.2,+12.90,+0.29%,4515.8,4571.3,4492.3,42.5,0.2,0.2,5021.2,4513.8,4383.5,4670.2,-8102.0,-439560.0,15.0,52.1,42.1,-3.5,-2.4
