Date,Symbol,Outlook,Outlook Modifier
05/27/2026,PM,BULLISH,long
05/27/2026,BTI,BULLISH,long
05/27/2026,MGM,BULLISH,long
05/27/2026,CZR,BULLISH,long
05/27/2026,BBWI,BULLISH,long
05/27/2026,CPRI,BULLISH,long
05/27/2026,AS,BULLISH,long
05/27/2026,UNH,BULLISH,long
05/27/2026,NVDA,BULLISH,long
05/27/2026,CMG,BEARISH,short
05/27/2026,WING,BEARISH,short
05/27/2026,NCLH,BEARISH,short
05/27/2026,DKS,BEARISH,short
05/27/2026,ANF,BEARISH,short
05/27/2026,ZG,BEARISH,short
05/27/2026,PSKY,BEARISH,short
05/27/2026,SG,NEUTRAL,neutral
