Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/04/2026,1630,$COMP,1.209,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,$DJI,1,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,$DXY,<empty>,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/6B[M26],.3089,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/6C[M26],.2666,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/6E[M26],.1322,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/6J[M26],.041,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/BTC[K26],.9922,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/BZ[N26],.055,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/CL[M26],1.29,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/GC[M26],.1486,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/HG[N26],.037,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/NG[M26],.5784,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/NKD[M26],.352,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,/SI[N26],.6496,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,AAAU,.1689,"2,793 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/04/2026,1630,AAL,1.331,"7,811 M",95.032,35.12,-1.7423,-4.7058,.31,<empty>,Industrials,$1.67
05/04/2026,1630,AAPL,1.058,"4,065,901 M",38.914,30.161,34.269,141.47,8.26,.209,Information Technology,$8.74
05/04/2026,1630,ABBV,.3103,"368,186 M",91.496,107.14,-117.58,6225,2.04,3.099,Health Care,$10.07
05/04/2026,1630,ABNB,1.215,"82,556 M",1.9484,33.633,9.9651,30.233,4.03,<empty>,Consumer Discretionary,$7.58
05/04/2026,1630,ABR,1.201,"1,516 M",<empty>,13.975,.65398,<empty>,.56,15.464,Financials,$1.72
05/04/2026,1630,ABT,.646,"152,478 M",34.208,28.758,3.4351,12.334,3.57,2.3766,Health Care,$4.24
05/04/2026,1630,ACHC,.757,"2,546 M",54.074,-1.9105,1.0813,-41.051,-12.2,<empty>,Health Care,($3.23)
05/04/2026,1630,ACHR,2.841,"4,383 M",4.9812,-7.5943,2.5401,-41.835,-.99,<empty>,Industrials,($0.86)
05/04/2026,1630,ACI,.258,"8,056 M",81.866,44.89,4.8697,8.3261,.4,3.352,Consumer Staples,$0.97
05/04/2026,1630,ADBE,1.447,"102,651 M",31.614,15.299,9.3185,58.774,17.16,<empty>,Information Technology,$24.58
05/04/2026,1630,ADYEY,2.362,"35,605 M",<empty>,40.91,8.2043,<empty>,.3948,<empty>,Financials,<empty>
