Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/14/2026,1630,$COMP,26635.2219,+0.88%,,1.213,668.06,<empty>,26707.1412,18599.6866,25249.12,23496.13,22931.75,1.0,1.0,0.52,<empty>,NaN,NaN,NaN,NaN,19.04,7.0,1.37,25850.06,20690.32,-20690.32,-24199.17,NaN,0
05/14/2026,1630,$DJI,50063.46,+0.75%,,1,345.89,<empty>,50512.79,41354.09,49448.6,47957.46,47432.42,1.0,0.93,0.41,"515,361,436",-100100.39,5.1038154848E8,5.2717625233E8,-4.02,6.64,0.83,0.72,50012.06,45057.32,-45057.32,-48709.11,NaN,0
05/14/2026,1630,$DXY,98.870,+0.35%,,<empty>,0.322,<empty>,101.259,95.551,98.379,98.958,98.52,3.0,0.39,0.7,<empty>,NaN,NaN,NaN,NaN,-0.955,0.795,0.986,101.31,97.62,101.31,-98.06,NaN,0
05/14/2026,1630,/6B[M26],1.3398,-0.05%,,.3089,0.0068,<empty>,1.3869,1.3011,1.3527,1.3434,1.3423,-4.0,-0.45,-0.14,"1,077",-100000.47,102858.92,104726.9531,-98.4321,0.3145,-1.2821,-1.0414,1.62,1.32,-1.32,1.1,NaN,0
05/14/2026,1630,/6C[M26],.72995,+0.04%,,.2666,0.00246,<empty>,0.74315,0.70845,0.7333,0.73045,0.72567,-10.0,-0.44,-0.28,966,-300106.45,71715.5,72364.23438,-98.3824,-0.46363,-0.99017,-0.17095,1.48,1.32,-1.32,1.1,NaN,0
05/14/2026,1630,/6E[M26],1.16865,-0.06%,,.1322,0.00367,<empty>,1.21105,1.1151,1.17443,1.16802,1.17086,-4.0,-0.58,-0.29,786,-200000.47,206161.26,205102.29688,-99.3252,0.81522,-0.48961,-0.59964,1.62,1.44,-1.44,1.07,NaN,0
05/14/2026,1630,/6J[M26],.0063295,-0.13%,,.041,4.38E-5,<empty>,0.007078,0.006243,0.0063427,0.00633,0.006513,-7.0,-0.77,-0.33,946,200109.08,157552.26,158727.515625,-99.1960089,-0.1262327,-0.9002662,-0.5342972,0.62,0.11,-0.11,0.07,NaN,0
05/14/2026,1630,/BTC[K26],81750,+0.16%,,.9922,2022.0,<empty>,127240.0,60005.0,79125.0,74304.0,92401.0,-4.0,-1.0,-1.0,21,100762.0,8384.0,8857.0,-100.0,9.0,5.0,1.0,83215.0,62591.0,83215.0,83215.0,NaN,0
05/14/2026,1630,/BZ[N26],106.20,+0.45%,,.055,3.81,<empty>,119.4,58.72,105.61,102.75,75.04,4.0,-0.23,0.41,39,-101000.49,59988.58,65698.92,-99.84,2.59,-2.42,-1.14,119.48,67.62,119.48,-96.06,NaN,0
05/14/2026,1630,/CL[N26],97.40,+0.50%,,1.29,3.74,<empty>,119.48,54.98,98.53,97.05,70.58,-1.0,-0.24,-0.46,975,100321.48,379343.46,396686.55,-99.5,1.44,-4.98,-4.56,119.48,62.62,119.48,111.11,NaN,0
