Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/22/2026,1630,$COMP,1.212,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,$DJI,1,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,$DXY,<empty>,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/6B[M26],.3089,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/6C[M26],.2666,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/6E[M26],.1322,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/6J[M26],.041,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/BTC[K26],.9922,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/BZ[N26],.055,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/CL[N26],1.29,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/GC[M26],.1486,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/HG[N26],.037,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/NG[M26],.5784,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/NKD[M26],.352,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,/SI[N26],.6496,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,AAAU,.1617,"2,737 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,AAL,1.357,"9,160 M",95.032,35.12,-1.7423,-4.7058,.31,<empty>,Industrials,$1.67
05/22/2026,1630,AAPL,1.074,"4,535,749 M",38.914,30.161,34.269,141.47,8.26,.41801,Information Technology,$8.74
05/22/2026,1630,ABBV,.3082,"381,097 M",97.394,107.14,-57.729,-141.4,2.04,3.099,Health Care,$11.29
05/22/2026,1630,ABNB,1.202,"78,550 M",24.336,30.954,9.8398,32.325,4.05,<empty>,Consumer Discretionary,$7.52
05/22/2026,1630,ABR,1.14,"1,071 M",41.78,19.339,.66321,4.108,.4,13.878,Financials,$0.89
05/22/2026,1630,ABT,.6373,"152,252 M",34.208,28.758,3.4351,12.334,3.57,2.3766,Health Care,$4.24
05/22/2026,1630,ACHC,.7392,"2,132 M",54.276,-1.9105,1.0841,-41.051,-12.2,<empty>,Health Care,($3.23)
05/22/2026,1630,ACHR,2.845,"4,852 M",5.2562,-4.7412,1.8844,-48.047,-1.1,<empty>,Industrials,($0.90)
05/22/2026,1630,ACI,.2502,"8,016 M",81.866,44.89,4.8697,8.3261,.4,3.352,Consumer Staples,$0.97
05/22/2026,1630,ADBE,1.444,"98,932 M",31.614,15.299,9.3185,58.774,17.16,<empty>,Information Technology,$24.58
05/22/2026,1630,ADYEY,2.35,"34,785 M",3.3094,40.91,8.2043,22.329,.3948,<empty>,Financials,$33.73
05/22/2026,1630,AFK,.7375,114 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/22/2026,1630,AFRM,3.498,"21,842 M",70.583,43.29,4.0553,11.487,1.1,<empty>,Financials,$2.37
05/22/2026,1630,AGCO,1.11,"8,171 M",<empty>,11.119,1.9526,17.531,10.37,1.0011,Industrials,$7.39
05/22/2026,1630,AHR,.5659,"9,673 M",28.82,81.926,2.5728,3.4901,.59,2.1204,Real Estate,$1.81
05/22/2026,1630,AIQUY,.7765,"120,842 M",<empty>,26.359,3.5333,<empty>,1.428,2.3088,Materials,$5.45
05/22/2026,1630,AKAM,.5476,"21,405 M",51.024,38.838,3.4054,9.168,2.96,<empty>,Information Technology,$5.29
05/22/2026,1630,ALB,1.345,"20,235 M",15.746,-52.857,2.7792,-1.8204,-3.42,.90236,Materials,$3.47
05/22/2026,1630,ALCO,.9926,306 M,<empty>,-16.659,3.0032,<empty>,-2.47,.48473,Consumer Staples,$1.66
05/22/2026,1630,ALGN,1.779,"11,717 M",1.9557,28.802,2.9588,10.824,5.95,<empty>,Health Care,$8.11
05/22/2026,1630,ALLY,1.104,"12,981 M",<empty>,9.5773,.90776,9.3562,4.12,3.0589,Financials,($0.36)
05/22/2026,1630,ALNY,.329,"39,713 M",66.667,83.762,41.058,90.356,3.98,<empty>,Health Care,$4.88
05/22/2026,1630,AMAT,1.672,"342,966 M",17.31,39.223,13.85,39.692,10.63,.45799,Information Technology,$6.72
05/22/2026,1630,AMBA,2.202,"3,840 M",<empty>,-35.978,4.6627,-13.123,-1.78,<empty>,Information Technology,$1.36
05/22/2026,1630,AMD,2.314,"762,322 M",4.3858,67.357,5.1076,8.0625,3.05,<empty>,Information Technology,$5.27
05/22/2026,1630,AMG,1.144,"7,975 M",<empty>,11.205,2.3732,21.834,24.38,.01446,Financials,$37.82
05/22/2026,1630,AMH,.8174,"11,636 M",40.371,22.713,1.4662,6.9099,1.23,4.4054,Real Estate,$2.25
05/22/2026,1630,AMLP,.5025,"12,837 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
