Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,Volume,RSI,ImpVolatility
05/29/2026,1630,$COMP,26972.62,+55.1486,+0.20%,26960.8405,27094.8025,26859.2645,<empty>,73.92,NaN
05/29/2026,1630,$DJI,51032.46,+363.49,+0.72%,50773.91,51094.18,50698.27,"907,942,096",68.2,NaN
05/29/2026,1630,$DXY,98.986,+.078,+0.08%,98.957,99.015,98.953,<empty>,52.253,NaN
05/29/2026,1630,/6B[M26],1.3452,-.0009,-0.07%,1.3450,1.3458,1.3444,"2,892",48.7154,0.0646
05/29/2026,1630,/6C[M26],.72545,+.0001,+0.01%,.72525,.72565,.72500,"2,713",40.16155,0.046
05/29/2026,1630,/6E[M26],1.16590,-.0014,-0.12%,1.16680,1.16695,1.16565,"4,660",46.09812,0.0569
05/29/2026,1630,/6J[M26],.0062835,-.0000035,-0.06%,.0062845,.0062855,.0062785,"5,678",40.814322,0.0665
05/29/2026,1630,/BTC[M26],73845,+130.00,+0.18%,73555,74385,73530,232,39.0,0.0
05/29/2026,1630,/BZ[Q26],92.90,+1.78,+1.95%,92.41,93.51,92.37,"1,265",37.74,NaN
05/29/2026,1630,/CL[N26],89.44,+2.08,+2.38%,88.50,90.08,88.45,"8,895",40.28,0.62
05/29/2026,1630,/GC[Q26],4572.0,-21.00,-0.46%,4575.2,4576.4,4545.5,"4,406",46.4,0.2
05/29/2026,1630,/HG[N26],6.4100,+.021,+0.33%,6.3900,6.4120,6.3800,534,57.2298,0.2778
05/29/2026,1630,/NG[N26],3.333,+.043,+1.31%,3.335,3.358,3.327,"2,729",67.822,0.535
05/29/2026,1630,/NKD[M26],66265,+35.00,+0.05%,66280,66780,66075,315,70.0,NaN
05/29/2026,1630,/SI[N26],75.925,+.05,+0.07%,75.565,75.970,73.505,"2,059",47.137,0.491
05/29/2026,1630,AAAU,44.81,+.475,+1.07%,44.64,45.305,44.595,"1,102,243",45.37,0.24
05/29/2026,1630,AAL,14.64,-.01,-0.07%,14.72,15.01,14.61,"71,239,112",69.15,0.58
05/29/2026,1630,AAPL,312.06,-.45,-0.14%,311.775,315.00,309.53,"70,026,752",78.77,0.25
05/29/2026,1630,ABBV,217.72,-.91,-0.42%,219.02,219.60,214.90,"7,620,822",61.65,0.3
05/29/2026,1630,ABNB,133.31,-1.19,-0.88%,134.50,135.75,132.77,"4,207,350",46.19,0.38
05/29/2026,1630,ABR,5.75,+.11,+1.95%,5.64,5.76,5.601,"4,394,651",34.33,0.35
05/29/2026,1630,ABT,85.60,-.70,-0.81%,86.65,86.73,85.28,"21,146,667",37.93,0.37
05/29/2026,1630,ACHC,23.20,-.56,-2.36%,23.44,23.85,23.065,"2,763,036",39.76,0.65
05/29/2026,1630,ACHR,6.81,0,0.00%,6.71,6.83,6.39,"56,889,622",64.22,0.93
05/29/2026,1630,ACI,15.61,-.31,-1.95%,15.89,15.925,15.435,"9,917,417",38.48,0.37
05/29/2026,1630,ADBE,259.21,+17.77,+7.36%,245.23,260.63,244.662,"10,808,921",58.75,0.61
05/29/2026,1630,ADYEY,10.90,+.12,+1.11%,10.74,10.9648,10.72,"931,381",49.81,NaN
05/29/2026,1630,AFK,27.6693,+.0293,+0.11%,27.64,27.80,27.55,"42,775",53.44,0.37
05/29/2026,1630,AFRM,73.65,+.65,+0.89%,73.94,74.63,72.07,"6,453,795",67.39,0.64
05/29/2026,1630,AGCO,112.28,-1.59,-1.40%,113.27,113.975,111.86,"927,763",43.32,0.43
05/29/2026,1630,AHR,48.89,-.57,-1.15%,49.42,49.42,48.19,"3,614,827",43.59,0.28
05/29/2026,1630,AIQUY,41.35,-1.06,-2.50%,42.04,42.04,41.35,"131,439",46.66,NaN
05/29/2026,1630,AKAM,149.54,+6.41,+4.48%,144.70,149.8699,143.26,"5,655,596",63.64,0.56
05/29/2026,1630,ALB,176.42,+.10,+0.06%,177.14,180.00,173.51,"2,542,588",43.91,0.66
05/29/2026,1630,ALCO,40.65,-1.06,-2.54%,41.65,41.65,40.47,"18,920",45.25,NaN
05/29/2026,1630,ALGN,174.95,+1.70,+0.98%,173.79,177.66,171.92,"1,155,008",56.9,0.46
05/29/2026,1630,ALLY,42.81,+.01,+0.02%,42.84,43.36,42.645,"5,014,452",50.98,0.37
05/29/2026,1630,ALNY,301.98,-3.08,-1.01%,302.43,305.68,297.62,"2,278,069",51.02,0.42
