Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/29/2026,1630,$COMP,1.216,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,$DJI,1,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,$DXY,<empty>,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/6B[M26],.3089,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/6C[M26],.2666,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/6E[M26],.1322,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/6J[M26],.041,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/BTC[M26],.9922,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/BZ[Q26],.055,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/CL[N26],1.29,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/GC[Q26],.1486,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/HG[N26],.037,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/NG[N26],.5784,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/NKD[M26],.352,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,/SI[N26],.6496,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,AAAU,.156,"2,759 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,AAL,1.392,"9,683 M",95.032,35.12,-1.7423,-4.7058,.31,<empty>,Industrials,$1.67
05/29/2026,1630,AAPL,1.087,"4,583,336 M",38.914,30.161,34.269,141.47,8.26,.41801,Information Technology,$8.74
05/29/2026,1630,ABBV,.3109,"384,666 M",97.394,107.14,-57.729,-141.4,2.04,3.099,Health Care,$11.29
05/29/2026,1630,ABNB,1.182,"79,120 M",24.336,30.954,9.8398,32.325,4.05,<empty>,Consumer Discretionary,$7.52
05/29/2026,1630,ABR,1.086,"1,106 M",41.78,19.339,.66321,<empty>,.4,13.878,Financials,$0.89
05/29/2026,1630,ABT,.619,"149,099 M",34.208,28.758,3.4351,12.334,3.57,2.3766,Health Care,$4.24
05/29/2026,1630,ACHC,.7203,"2,134 M",<empty>,-1.9105,1.0841,<empty>,-12.2,<empty>,Health Care,($3.23)
05/29/2026,1630,ACHR,2.865,"5,195 M",5.2562,-4.7412,1.8844,-48.047,-1.1,<empty>,Industrials,($0.90)
05/29/2026,1630,ACI,.2296,"7,720 M",81.866,44.89,4.8697,<empty>,.4,3.352,Consumer Staples,$0.97
05/29/2026,1630,ADBE,1.451,"104,773 M",31.614,15.299,9.3185,58.774,17.16,<empty>,Information Technology,$24.58
05/29/2026,1630,ADYEY,2.325,"34,375 M",3.3094,40.91,8.2043,22.329,.3948,<empty>,Financials,$33.73
05/29/2026,1630,AFK,.7396,116 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,AFRM,3.502,"24,665 M",<empty>,43.29,4.0553,11.487,1.1,<empty>,Financials,$2.37
05/29/2026,1630,AGCO,1.09,"8,130 M",29.178,11.119,1.9526,17.531,10.37,1.0011,Industrials,$7.39
05/29/2026,1630,AHR,.5568,"10,107 M",28.82,81.926,2.5728,3.4901,.59,2.1204,Real Estate,$1.81
05/29/2026,1630,AIQUY,.7596,"119,313 M",<empty>,26.359,3.5333,<empty>,1.428,2.3088,Materials,<empty>
05/29/2026,1630,AKAM,.6005,"21,741 M",<empty>,38.838,3.4054,9.168,2.96,<empty>,Information Technology,$5.29
05/29/2026,1630,ALB,1.323,"20,806 M",15.746,-52.857,2.7792,-1.8204,-3.42,.90236,Materials,$3.47
05/29/2026,1630,ALCO,.9786,301 M,<empty>,-16.659,3.0032,<empty>,-2.47,.48473,Consumer Staples,<empty>
05/29/2026,1630,ALGN,1.777,"12,530 M",1.9557,28.802,2.9588,10.824,5.95,<empty>,Health Care,$8.11
05/29/2026,1630,ALLY,1.091,"13,122 M",<empty>,9.5773,.90776,9.3562,4.12,3.0589,Financials,($0.36)
05/29/2026,1630,ALNY,.3215,"40,318 M",<empty>,83.762,41.058,90.356,3.98,<empty>,Health Care,$4.88
05/29/2026,1630,AMAT,1.683,"357,329 M",19.101,39.223,13.849,39.692,10.63,.45799,Information Technology,$6.72
05/29/2026,1630,AMBA,2.162,"3,166 M",<empty>,-42.537,4.9521,-11.816,-1.61,<empty>,Information Technology,$1.36
05/29/2026,1630,AMD,2.368,"841,553 M",4.3858,67.357,5.1076,8.0625,3.05,<empty>,Information Technology,$5.27
05/29/2026,1630,AMG,1.136,"7,999 M",42.04,11.205,2.3732,<empty>,24.38,.01446,Financials,$37.82
05/29/2026,1630,AMH,.8112,"11,568 M",40.371,22.713,1.4662,<empty>,1.23,4.4054,Real Estate,$2.25
05/29/2026,1630,AMLP,.4809,"12,123 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,AMN,.3878,"1,124 M",<empty>,-21.859,.99462,-4.5444,-.86,<empty>,Health Care,$18.27
05/29/2026,1630,AMPH,.8667,831 M,46.24,11.753,1.1307,<empty>,1.66,<empty>,Health Care,$2.88
05/29/2026,1630,AMZN,1.436,"2,911,304 M",32.192,24.908,5.0683,24.285,8.36,<empty>,Consumer Discretionary,($0.23)
05/29/2026,1630,AN,.7337,"6,281 M",49.172,10.644,2.9736,<empty>,18.44,<empty>,Consumer Discretionary,($2.85)
05/29/2026,1630,AQWA,.8941,24 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,AR,.3973,"11,077 M",32.483,13.743,1.6308,12.837,3.09,<empty>,Energy,$3.08
05/29/2026,1630,ARE,1.204,"8,658 M",33.533,-7.4065,.50365,-4.1438,-6.27,8.7893,Real Estate,$8.24
05/29/2026,1630,ARGT,.947,903 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,ARHS,2.309,958 M,54.944,14.783,2.571,<empty>,.47,<empty>,Consumer Discretionary,$0.10
05/29/2026,1630,ARKK,1.985,"6,892 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/29/2026,1630,ARQQ,2.714,287 M,<empty>,-4.2469,7.7073,<empty>,-3.03,<empty>,Information Technology,($2.74)
05/29/2026,1630,AS,1.13,"20,701 M",8.9098,40.553,2.7574,7.8822,.8002,<empty>,Consumer Discretionary,$0.78
05/29/2026,1630,ASBFF,.4235,"18,028 M",<empty>,<empty>,<empty>,<empty>,1.797,<empty>,Consumer Staples,<empty>
05/29/2026,1630,ASO,1.013,"3,406 M",42.865,9.9296,1.6454,18.047,5.54,.98164,Consumer Discretionary,$3.32
05/29/2026,1630,ATRO,1.137,"3,118 M",68.993,56.662,15.48,21.179,1.22,<empty>,Industrials,$0.68
05/29/2026,1630,AVB,.794,"25,893 M",37.521,20.258,1.9748,9.7185,8.07,4.3036,Real Estate,$11.84
05/29/2026,1630,AVGO,1.415,"2,115,308 M",43.723,64.567,19.644,33.371,5.13,.74857,Information Technology,$6.12
05/29/2026,1630,AVO,.5297,789 M,22.661,28.743,1.6246,<empty>,.46,<empty>,Consumer Staples,$0.54
