Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/19/2026,1630,$COMP,25870.7098,-0.84%,,1.211,525.19,<empty>,26707.1412,18599.6866,25501.81,23703.21,23008.17,-3.0,-0.91,-0.19,<empty>,NaN,NaN,NaN,NaN,17.11,2.15,-2.87,26359.06,20690.35,-20690.35,26707.03,NaN,0
05/19/2026,1630,$DJI,49363.88,-0.65%,,1,262.1,<empty>,50512.79,41354.09,49475.44,48065.04,47514.4,-3.0,-0.85,-0.3,"494,842,736",-100100.42,5.066667824E8,5.2106731773E8,9.17,7.26,0.13,-1.4,50130.08,45057.35,-45057.35,50201.03,NaN,0
05/19/2026,1630,$DXY,99.399,+0.07%,,<empty>,0.505,<empty>,100.643,95.551,98.56,98.984,98.538,7.0,0.59,0.88,<empty>,NaN,NaN,NaN,NaN,-0.105,1.412,0.13,101.35,97.61,101.35,-98.1,NaN,0
05/19/2026,1630,/6B[M26],1.3380,-0.13%,,.3089,0.0093,<empty>,1.3869,1.3011,1.3507,1.3431,1.3424,-2.0,-0.3,-0.07,"2,720",-100000.5,98322.38,104824.3438,-98.2346,0.3149,-1.5597,0.4203,1.13,1.35,1.13,-1.02,NaN,0
05/19/2026,1630,/6C[M26],.72770,-0.06%,,.2666,0.00297,<empty>,0.74315,0.70845,0.73238,0.72991,0.7257,-1.0,-0.34,-0.24,"2,214",-300106.48,68572.94,72400.40625,-97.82372,-0.51268,-0.95277,-0.05494,1.51,1.35,-1.35,1.13,NaN,0
05/19/2026,1630,/6E[M26],1.16085,-0.09%,,.1322,0.00608,<empty>,1.21105,1.12215,1.17207,1.16798,1.17095,-7.0,-0.42,-0.14,"6,735",-200000.5,192186.64,205607.75,-97.12484,-0.09467,-1.37632,-0.28347,1.23,1.47,1.23,1.1,NaN,0
05/19/2026,1630,/6J[M26],.0063015,0.00%,,.041,3.75E-5,<empty>,0.007078,0.006243,0.0063412,0.0063276,0.006506,-10.0,-0.63,-0.2,"11,758",200109.11,151924.44,155045.90625,-98.1177231,-0.4030346,-1.7692907,-0.2058754,0.61,0.14,-0.14,0.1,NaN,0
05/19/2026,1630,/BTC[K26],76570,-0.34%,,.9922,1848.0,<empty>,127240.0,60005.0,78988.0,74704.0,91807.0,-7.0,-1.0,0.0,754,100762.0,8382.0,8878.0,-82.0,9.0,-6.0,-3.0,83215.0,62591.0,83215.0,83215.0,NaN,0
05/19/2026,1630,/BZ[N26],110.99,-0.26%,,.055,3.72,<empty>,119.4,58.72,107.56,103.99,75.66,7.0,0.3,0.54,435,-101000.52,50610.28,64688.58,-99.24,-1.32,8.89,1.63,119.51,69.58,119.51,-96.09,NaN,0
05/19/2026,1630,/CL[N26],104.02,-0.12%,,1.29,3.0,<empty>,119.48,54.98,100.8,98.08,71.13,7.0,0.31,0.56,"5,669",100321.51,337668.06,393888.41,-98.21,6.03,8.1,2.81,119.51,64.58,119.51,-89.1,NaN,0
05/19/2026,1630,/GC[M26],4467.1,-0.98%,,.1486,91.4,<empty>,5626.8,3250.5,4633.5,4702.5,4362.0,-6.0,-0.3,-0.5,"12,893",0.0,148462.4,149043.5,-88.7,-0.6,-5.0,-1.7,5434.6,4100.4,-4100.4,4783.1,NaN,0
05/19/2026,1630,/HG[N26],6.1820,-0.39%,,.037,0.2368,<empty>,6.716,4.3325,6.1876,5.921,5.4157,-5.0,-0.77,-0.34,"1,823",0.0,43954.48,44305.8281,-93.8813,16.5975,-0.1857,-1.7092,7.06,5.41,7.05,7.05,NaN,0
05/19/2026,1630,/NG[M26],3.112,-0.06%,,.5784,0.123,<empty>,7.439,2.495,2.81,2.849,3.407,5.0,0.51,0.38,"1,378",0.0,109434.84,115254.891,-99.146,0.517,14.328,5.1,3.51,2.18,-2.18,-3.17,NaN,0
05/19/2026,1630,/NKD[M26],59550,-1.87%,,.352,1456.0,<empty>,63880.0,36490.0,61001.0,57484.0,51638.0,-5.0,-1.0,0.0,"1,980",200500.0,5839.0,5993.0,-70.0,17.0,-4.0,-4.0,63850.0,50410.0,63880.0,63880.0,NaN,0
