Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/13/2026,1630,$COMP,26402.3438,+1.20%,,1.211,621.3,<empty>,26474.1833,18599.6866,25122.5,23419.57,22904.06,-2.0,1.0,-0.52,<empty>,NaN,NaN,NaN,NaN,19.44,7.01,0.59,25361.06,20690.31,-20690.31,-24199.16,NaN,0
05/13/2026,1630,$DJI,49693.20,-0.14%,,1,312.67,<empty>,50512.79,41354.09,49374.36,47930.98,47405.27,-5.0,-0.92,-0.39,"491,982,845",-100100.38,5.1030192448E8,5.2802039761E8,8.02,6.73,1.7,0.17,50447.62,45057.31,-45057.31,50130.04,NaN,0
05/13/2026,1630,$DXY,98.473,+0.18%,,<empty>,0.293,<empty>,101.259,95.551,98.346,98.956,98.52,2.0,0.34,0.62,<empty>,NaN,NaN,NaN,NaN,-2.012,-0.506,0.644,101.3,97.62,101.3,-98.05,NaN,0
05/13/2026,1630,/6B[M26],1.3523,-0.07%,,.3089,0.0041,<empty>,1.3869,1.3011,1.354,1.3432,1.3422,-2.0,-0.62,-0.38,"84,111",-100000.45,106582.98,105372.8906,-11.0624,2.292,0.3711,-0.7923,1.62,1.3,-1.3,1.08,NaN,0
05/13/2026,1630,/6C[M26],.73060,-0.05%,,.2666,0.00213,<empty>,0.74315,0.70845,0.73349,0.73055,0.72563,-8.0,-0.51,-0.32,"44,953",-300106.43,74232.44,74183.625,-26.81763,-0.17762,-0.21171,-0.24577,1.46,1.3,-1.3,1.08,NaN,0
05/13/2026,1630,/6E[M26],1.17305,-0.25%,,.1322,0.00293,<empty>,1.21105,1.1151,1.17562,1.16779,1.17068,-2.0,-0.66,-0.41,"108,488",-200000.45,213561.02,208324.875,-38.24716,2.30236,0.26497,-0.64792,1.62,1.42,-1.42,-1.09,NaN,0
05/13/2026,1630,/6J[M26],.0063515,-0.20%,,.041,4.79E-5,<empty>,0.007078,0.006243,0.0063421,0.0063314,0.0065172,-5.0,-0.84,-0.47,"70,439",200109.06,160098.28,165204.703125,-49.0874791,0.6417367,1.4859791,-0.7733167,0.62,0.09,-0.09,0.05,NaN,0
05/13/2026,1630,/BTC[K26],79820,-1.45%,,.9922,2000.0,<empty>,127240.0,60005.0,78606.0,73936.0,92765.0,-2.0,-1.0,-1.0,"8,810",100762.0,8645.0,8953.0,28.0,12.0,5.0,-1.0,82120.0,62591.0,83215.0,83215.0,NaN,0
05/13/2026,1630,/BZ[N26],105.55,-2.06%,,.055,3.83,<empty>,119.4,58.72,104.46,101.83,74.69,2.0,-0.24,0.39,"25,953",-101000.47,65392.96,66812.19,-49.34,1.63,-5.68,5.04,119.46,67.6,119.46,115.07,NaN,0
05/13/2026,1630,/CL[M26],101.00,-1.15%,,1.29,4.08,<empty>,119.48,54.98,97.42,96.16,70.28,2.0,0.27,0.48,"189,972",100321.46,401215.26,403885.41,-45.06,1.7,-6.9,6.68,119.46,62.6,119.46,111.09,NaN,0
05/13/2026,1630,/GC[M26],4697.1,+0.22%,,.1486,68.2,<empty>,5626.8,3123.3,4697.3,4763.5,4332.9,-1.0,0.4,-0.6,"111,941",0.0,152617.0,150518.8,-24.8,-6.5,3.1,-0.6,5434.5,4100.4,-4100.4,-4510.1,NaN,0
05/13/2026,1630,/HG[N26],6.6190,+1.35%,,.037,0.2478,<empty>,6.716,4.3325,6.1243,5.877,5.3759,7.0,0.95,0.94,"58,569",0.0,44160.02,45685.3594,31.5921,16.6344,11.6848,5.3561,6.15,5.36,-5.36,-6.07,NaN,0
05/13/2026,1630,/NG[M26],2.868,+0.88%,,.5784,0.113,<empty>,7.439,2.495,2.725,2.851,3.408,-2.0,0.42,-0.35,"123,910",0.0,115890.92,117910.922,69.728,-8.429,8.308,4.291,3.46,2.13,-2.13,-2.13,NaN,0
05/13/2026,1630,/NKD[M26],63515,+1.59%,,.352,1699.0,<empty>,63850.0,36490.0,60539.0,56832.0,51120.0,1.0,1.0,1.0,"3,926",200500.0,6091.0,6042.0,-57.0,20.0,8.0,-1.0,61000.0,50410.0,-50410.0,63850.0,NaN,0
05/13/2026,1630,/SI[N26],88.155,+3.00%,,.6496,5.406,<empty>,121.785,31.78,78.089,77.317,63.901,6.0,0.41,0.9,"52,735",0.0,44063.42,48352.313,-15.885,9.312,22.804,9.055,97.51,61.36,-61.36,-71.1,NaN,0
