Date,Time,Symbol,Last,%Change,StandardDeviation,52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays
06/02/2026,1630,ACHR,6.74,-1.46%,0.35,14.62,4.8,6.36,5.93,7.95,-1.0,1.0,-0.58,"48,422,624",-100187.06,3.79383555E7,3.610704163E7,-10.77,29.37,13.85,-1.03,7.62,5.44,-5.44,7.03,47.0
06/02/2026,1630,ACI,15.59,+0.78%,0.53,22.78,15.36,16.18,16.64,17.56,1.0,-0.05,0.29,"4,300,465",-100131.15,6558190.66,6590563.2,-64.95,-8.35,-7.26,-2.07,18.39,16.14,18.39,18.09,33.0
06/02/2026,1630,ADBE,262.11,-4.35%,10.69,421.48,224.13,249.57,245.29,303.11,3.0,0.85,0.74,"5,753,790",300661.03,5051962.61,5572036.74,77.91,8.59,2.53,8.56,285.61,224.36,-224.36,-232.12,7.0
06/02/2026,1630,ADYEY,10.320,-2.73%,0.33,19.94,9.45,10.82,10.73,14.11,-5.0,-0.77,-0.54,"702,108",100000.15,1635540.54,1739404.58,-88.44,3.61,-2.27,-4.27,12.31,9.41,12.31,-10.13,NaN
06/02/2026,1630,AFK,27.68,+0.73%,0.48,30.85,19.0,27.55,27.11,25.96,8.0,0.54,0.56,"64,325",-200043.54,65430.95,86689.03,-33.51,4.85,2.52,0.14,29.31,24.5,29.31,-26.09,NaN
06/02/2026,1630,AFRM,71.01,-2.61%,3.28,100.0,42.095,67.6,60.12,67.31,-1.0,-0.86,-0.47,"4,702,745",-100679.53,5124846.64,5358182.38,-9.19,55.93,10.25,-2.73,71.16,42.45,-42.45,-60.13,60.0
06/02/2026,1630,AGCO,118.40,+5.69%,1.97,143.78,97.53,115.14,116.56,113.77,1.0,0.28,0.57,"881,006",-100144.2,691863.65,711131.47,40.89,0.56,4.62,3.98,135.62,108.5,-108.5,-108.07,40.0
06/02/2026,1630,AHR,46.38,-1.80%,1.49,54.67,34.03,50.06,49.36,47.4,-5.0,-0.25,-0.17,"1,617,177",-100128.08,2388140.34,2555734.64,-38.11,-2.4,-7.41,-6.23,54.58,47.44,54.58,52.15,45.0
06/02/2026,1630,AIQUY,40.92,-0.73%,0.76,44.415,36.169,41.43,41.99,40.01,-3.0,-0.25,-0.47,"158,110",100000.02,192174.86,194157.44,26.28,-1.85,0.71,-3.51,44.34,38.59,44.34,43.04,38.0
06/02/2026,1630,AKAM,160.32,+4.10%,5.97,165.45,69.78,145.17,120.85,95.38,3.0,0.79,0.33,"4,186,193",100355.09,5871812.38,5573196.74,-36.11,38.51,6.33,12.01,165.13,89.34,165.13,165.13,45.0
