Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
5/27/2026,1630,$COMP,26674.7349,0.07%,,1.214,255.15,<empty>,26725.2923,18847.744,25939.55,24103.88,23140.2,2,-0.85,0.19,<empty>,NaN,NaN,NaN,NaN,24.6,2.25,1.45,26707.08,20690.4,-20690.4,-24913.16,NaN,0
5/27/2026,1630,$DJI,50644.28,0.36%,,1,401.61,<empty>,50830.41,41828.35,49757.43,48398.52,47671.19,5,0.93,0.48,"503,582,323",-100100.47,5.10E+08,5.21E+08,-9.41,10.19,1.78,0.71,50201.08,45057.4,-45057.4,-48913.16,NaN,0
5/27/2026,1630,$DXY,99.464,0.26%,,<empty>,0.432,<empty>,100.643,95.551,98.74,98.903,98.571,1,0.65,0.75,<empty>,NaN,NaN,NaN,NaN,-1.114,0.601,0.481,101.41,98.16,-98.16,100.05,NaN,0
5/27/2026,1630,/6B[M26],1.3382,-0.36%,,0.3089,0.0084,<empty>,1.3869,1.3011,1.349,1.3441,1.3425,-1,-0.27,-0.27,"5,886",-100000.55,92130.92,104603.9531,-92.9444,0.9277,-1.0427,-0.3797,1.18,1.4,1.18,-1.07,NaN,0
5/27/2026,1630,/6C[M26],0.72205,-0.19%,,0.2666,0.00322,<empty>,0.74315,0.70845,0.7302,0.72897,0.7256,-5,-0.15,-0.18,"3,780",-200106.53,64285.28,72928.20313,-93.40395,-0.01385,-1.17027,-0.28311,1.56,1.4,-1.4,1.17,NaN,0
5/27/2026,1630,/6E[M26],1.1605,-0.30%,,0.1322,0.00666,<empty>,1.21105,1.12215,1.16962,1.16891,1.17087,5,-0.35,0.27,"13,627",-200000.55,177239.48,207247.6406,-90.81107,0.47184,-1.06986,-0.1076,1.28,1.52,1.28,-1.04,NaN,0
5/27/2026,1630,/6J[M26],0.006274,-0.08%,,0.041,3.78E-05,<empty>,0.007078,0.006243,0.0063414,0.0063253,0.0064931,1,-0.37,0.2,"13,254",200109.16,147953.46,153149.5,-89.6532342,-0.1034949,-1.2201842,-0.2940008,0.15,0.19,0.15,0.15,NaN,0
5/27/2026,1630,/BTC[K26],73560,-1.80%,,0.9922,2482,<empty>,127240,60005,78654,75062,90782,-12,-1,0,970,-100128,8493,8801,-86,11,-8,-3,83215,65001,83215,83215,NaN,0
5/27/2026,1630,/BZ[Q26],95.37,3.38%,,0.055,5.06,<empty>,119.4,58.72,105.27,103.76,76.45,-6,0,-0.14,"3,516",-101000.57,47233.96,65037.98,-94.26,-10.74,-9.64,-8.25,119.56,70.62,119.56,115.17,NaN,0
5/27/2026,1630,/CL[N26],91.76,3.47%,,1.29,4.25,<empty>,119.48,54.98,99.21,97.89,71.85,-6,-0.01,-0.27,"20,816",100321.56,324704.06,392614.11,-94.25,-9.31,-9.15,-5.4,119.56,65.62,119.56,107.17,NaN,0
5/27/2026,1630,/GC[Q26],4411.1,-1.57%,,0.1486,102.7,<empty>,5626.8,3250.5,4595.6,4647,4388.7,-1,-0.2,-0.5,"22,718",0,151543.2,153263,-85,-2.4,-6.1,-2.2,5434.6,4100.5,-4100.5,4783.1,NaN,0
5/27/2026,1630,/HG[N26],6.278,-0.98%,,0.037,0.1315,<empty>,6.716,4.3325,6.2842,5.9791,5.4646,-2,-0.71,-0.3,"3,808",0,45062.38,44305.4375,-88.5714,14.9501,-5.1518,-1.6065,7.1,5.46,7.1,7.1,NaN,0
