Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,RSI,HistoricalVolatility,ImpVolatility,A_TrendValue,A_TradeValue,A_BB_Bottom,A_BB_Top,A_BB_Streak,A_BBHighLow,A_BBHighLowDays,A_IVPercentile,A_HVPercentile,A_BB_Top_Slope,A_BB_Bot_Slope
06/03/2026,1630,$COMP,26853.9756,-239.9253,-0.89%,27092.8445,27130.8758,26769.1555,68.12,0.15,NaN,22061.97,25867.3,25971.31,27442.04,7210.02,2719021.03,3.46,0.0,45.1,1.3,4.6
06/03/2026,1630,$DJI,50687.07,-620.72,-1.21%,51220.92,51220.92,50687.07,59.56,0.11,NaN,46494.63,49352.56,49443.25,51792.86,8210.02,5136961.02,4.1,0.0,28.1,13.9,1.0
06/03/2026,1630,$DXY,99.522,+.303,+0.31%,99.290,99.552,99.191,59.893,0.041,NaN,98.492,98.416,98.91,99.643,8203.01,9955.01,1.19,0.0,18.1,0.0,8.7
06/03/2026,1630,/6B[M26],1.3418,-.0051,-0.38%,1.3464,1.3472,1.3411,45.1774,0.0628,0.0602,1.3218,1.3302,1.3333,1.3511,1101.02,-133.12,17.12,13.1,49.1,-3.8,0.0
06/03/2026,1630,/6C[M26],.71995,-.0034,-0.47%,.72320,.72320,.71975,29.53255,0.02858,0.0451,0.73065,0.7272,0.71849,0.73016,-13120.01,-72.01,20.01,21.1,2.1,-1.2,-1.7
06/03/2026,1630,/6E[M26],1.16050,-.00305,-0.26%,1.16365,1.16400,1.16010,39.40974,0.04479,0.0595,1.14615,1.16235,1.15672,1.1689,-7103.09,-116.09,16.09,23.1,21.1,-2.2,0.0
06/03/2026,1630,/6J[M26],.0062535,-.0000065,-0.10%,.0062620,.0062810,.0062520,35.1890717,0.0451611,0.0921,0.006273,0.0063005,0.0062312,0.0063333,-4116.09,-1.01,19.11,44.1,0.1,0.0,0.0
06/03/2026,1630,/BTC[M26],65665,+80.00,+0.12%,65425,65735,65425,26.0,0.0,1.0,65685.0,76020.0,62650.0,76455.0,-11114.0,-6490500.0,20.0,81.0,31.0,-10.0,-18.0
06/03/2026,1630,/BZ[Q26],97.86,+1.86,+1.94%,96.07,99.00,96.04,45.5,0.54,NaN,81.16,103.86,85.28,111.81,-4110.04,-8994.04,24.04,0.2,75.1,0.0,-8.8
06/03/2026,1630,/CL[N26],96.20,+2.44,+2.60%,93.45,97.00,93.45,50.4,0.5,0.61,76.73,97.23,84.0,104.35,-7201.03,-8635.04,24.04,63.1,72.1,0.0,-4.4
06/03/2026,1630,/GC[Q26],4462.7,-57.20,-1.27%,4520.0,4525.1,4454.0,38.5,0.2,0.2,5014.1,4483.5,4384.0,4626.3,-8103.0,-439560.0,16.1,54.1,43.1,-4.1,-0.1
06/03/2026,1630,/HG[N26],6.4840,-.1925,-2.88%,6.6820,6.6840,6.4725,56.5849,0.3378,0.3051,5.6395,6.207,6.1676,6.7096,3205.01,668.01,1.21,57.1,58.2,0.0,4.2
06/03/2026,1630,/NG[N26],3.255,+.088,+2.78%,3.172,3.262,3.143,63.108,0.504,0.477,2.951,2.798,2.845,3.414,17206.03,340.03,3.28,12.1,35.2,13.0,6.1
06/03/2026,1630,/NKD[M26],68095,-150.00,-0.22%,0,0,0,75.0,0.0,NaN,51200.0,60450.0,61319.0,69654.0,7208.0,6879000.0,1.0,0.0,46.0,6.0,5.0
06/03/2026,1630,/SI[N26],72.980,-2.576,-3.41%,75.495,75.625,72.835,41.949,0.616,0.456,79.52,74.11,67.213,82.307,-4113.05,8917.14,14.24,39.1,73.2,-2.9,-3.3
06/03/2026,1630,AAAU,43.80,-.45,-1.02%,43.85,43.97,43.65,38.69,0.19,0.23,49.42,44.49,43.04,45.71,-7103.05,-4342.06,66.06,60.1,44.1,-6.3,-0.8
06/03/2026,1630,AAL,13.57,-.36,-2.58%,13.712,13.84,13.50,54.08,0.52,0.58,10.26,12.21,12.18,15.71,-1102.01,1510.05,5.25,73.1,66.2,11.2,3.4
06/03/2026,1630,AAPL,310.26,-4.94,-1.57%,314.175,316.94,308.85,65.74,0.18,0.27,249.52,293.5,296.61,320.33,14202.01,31694.01,1.41,41.1,29.1,5.5,3.0
06/03/2026,1630,ABBV,217.13,+1.73,+0.80%,214.80,219.54,213.725,58.64,0.19,0.31,219.44,204.3,210.01,221.1,1202.01,21954.01,1.02,76.1,17.1,0.0,8.7
06/03/2026,1630,ABNB,133.59,-.76,-0.57%,133.22,134.80,131.9101,47.13,0.28,0.39,125.62,131.23,131.13,137.51,-2101.01,-13191.01,2.01,45.1,57.1,-6.0,0.0
06/03/2026,1630,ABR,5.30,-.12,-2.21%,5.36,5.44,5.23,28.7,0.76,0.51,7.64,5.67,5.16,5.97,-2103.01,-523.01,19.01,55.1,98.4,-11.0,0.0
06/03/2026,1630,ABT,86.99,+.02,+0.02%,87.195,88.11,86.72,43.92,0.26,0.37,107.7,82.69,84.17,89.96,-1102.05,8934.11,11.17,99.4,72.3,0.0,4.4
