Date,Time,Symbol,Last,%Change,StandardDeviation,52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays
5/28/2026,1630,$COMP,26917.4714,0.91%,268.83,26934.8434,18847.744,26051.76,24192.64,23167.86,3,0.86,0.22,<empty>,NaN,NaN,NaN,NaN,28.49,1.95,2.18,26707.09,20690.41,-20690.41,-24913.17,NaN
5/28/2026,1630,$DJI,50668.97,0.05%,432.31,50830.41,41828.35,49847.79,48472.04,47704.66,6,0.94,0.48,"505,094,261",-100100.48,5.10E+08,5.19E+08,4.17,12.18,1.96,0.18,50201.09,45057.41,-45057.41,-48913.17,NaN
5/28/2026,1630,$DXY,98.997,-0.21%,0.41,100.643,95.551,98.716,98.894,98.569,-7,-0.62,-0.7,<empty>,NaN,NaN,NaN,NaN,-1.579,0.128,0.009,101.41,98.16,-98.16,-98.16,NaN
5/28/2026,1630,/6B[M26],1.3445,0.04%,0.0066,1.3869,1.3011,1.3485,1.3446,1.3425,7,0.31,0.36,3,-100000.56,91388.66,103993.5469,-99.9959,2.0029,0.3283,-0.0074,1.19,1.41,1.19,-1.08,NaN
5/28/2026,1630,/6C[M26],0.72595,-0.01%,0.00264,0.74315,0.70845,0.72981,0.72895,0.72561,2,0.19,0.3,103,-200106.54,64510.94,73102.59375,-99.85467,0.75642,-0.54798,0.18631,1.57,1.41,-1.41,1.16,NaN
5/28/2026,1630,/6E[M26],1.166,0.03%,0.00535,1.21105,1.1323,1.16941,1.16933,1.17088,6,0.39,0.37,45,-200000.56,175981.32,207575.6875,-99.96462,1.36046,-0.20968,0.15031,1.29,1.53,1.29,-1.05,NaN
5/28/2026,1630,/6J[M26],0.0062875,0.01%,3.02E-05,0.007078,0.006243,0.0063361,0.0063254,0.0064906,2,-0.38,0.24,213,200109.17,147308.52,152127.2031,-99.769884,-0.2142517,-0.6635595,-0.0079517,0.16,0.2,0.16,0.16,NaN
5/28/2026,1630,/BTC[M26],74095,0.65%,2608,127240,60005,78515,75116,90549,1,-1,0,3,-100128,8439,8784,-100,11,-9,-2,83215,65001,83215,83215,NaN
5/28/2026,1630,/BZ[Q26],92.67,-0.03%,6.12,119.4,58.72,104.2,103.34,76.56,-7,0,-0.08,1,-101000.58,46574.08,64105.83,-100,-14.82,-13.03,-6.96,119.57,76.62,119.57,114.17,NaN
5/28/2026,1630,/CL[N26],88.55,-0.39%,5.21,119.48,54.98,98.2,97.61,71.97,-7,0,-0.22,110,100321.57,316757.64,388243.47,-99.95,-15.67,-13.2,-5.36,119.57,69.62,119.57,105.17,NaN
