Date,Symbol,Outlook,Outlook Modifier
6/1/2026,SBUX,BULLISH,long
6/1/2026,MGM,BULLISH,long
6/1/2026,AS,BULLISH,long
6/1/2026,DGX,BULLISH,long bench
6/1/2026,LH,BULLISH,long bench
6/1/2026,NVO,BULLISH,long
6/1/2026,HQY,BULLISH,long
6/1/2026,CFG,BULLISH,long
6/1/2026,TTWO,BULLISH,long
6/1/2026,NVDA,BULLISH,long
6/1/2026,WING,BEARISH,short
6/1/2026,TSN,BEARISH,short
6/1/2026,LVS,BEARISH,short
6/1/2026,JPM,BEARISH,long bench
6/1/2026,MSTR,BEARISH,short
6/1/2026,ODFL,BEARISH,short
6/1/2026,SAIA,BEARISH,short
6/1/2026,ARCB,BEARISH,short
6/1/2026,MLCO,NEUTRAL,neutral
6/1/2026,WYNN,NEUTRAL,neutral
6/1/2026,CI,NEUTRAL,neutral
6/1/2026,FDX,NEUTRAL,neutral
6/1/2026,EC,NEUTRAL,neutral
6/1/2026,MU,NEUTRAL,neutral
