Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,RSI,HistoricalVolatility,ImpVolatility,A_TrendValue,A_TradeValue,A_BB_Bottom,A_BB_Top,A_BB_Streak,A_BBHighLow,A_BBHighLowDays,A_IVPercentile,A_HVPercentile,A_BB_Top_Slope,A_BB_Bot_Slope
05/13/2026,1630,$COMP,26402.3438,+314.1405,+1.20%,26147.6463,26474.1833,25990.1577,77.81,0.15,NaN,22256.76,24209.74,24880.91,26931.56,14210.03,2647418.01,3.32,0.0,41.1,9.6,12.1
05/13/2026,1630,$DJI,49693.20,-67.36,-0.14%,49674.58,49747.61,49451.00,60.09,0.12,NaN,48731.46,48861.31,48970.44,50128.68,12206.04,4983070.04,4.33,0.0,45.1,0.0,3.0
05/13/2026,1630,$DXY,98.471,+.173,+0.18%,98.309,98.598,98.264,49.895,0.052,NaN,96.875,98.214,97.648,98.875,1202.01,-9783.04,10.04,0.0,34.1,-1.4,0.0
05/13/2026,1630,/6B[M26],1.3525,+.0008,+0.06%,1.3524,1.3532,1.3520,50.9621,0.0571,0.0713,1.3434,1.3452,1.3471,1.3637,-2103.02,-135.02,4.02,34.1,18.1,0.0,0.0
05/13/2026,1630,/6C[M26],.73060,-.0004,-0.05%,.73125,.73180,.72995,46.1089,0.04182,0.0448,0.72995,0.7307,0.72916,0.73761,-4106.01,-73.01,6.01,16.1,35.1,-0.3,0.0
05/13/2026,1630,/6E[M26],1.17305,-.0029,-0.25%,1.17575,1.17600,1.17130,49.12203,0.04644,0.0567,1.17535,1.16975,1.17012,1.18132,-1102.01,-117.01,2.01,12.1,21.1,0.0,2.6
05/13/2026,1630,/6J[M26],.0063515,-.0000125,-0.20%,.0063635,.0063645,.0063460,50.3352115,0.100957,0.0739,0.0064365,0.0062825,0.0062728,0.0064666,-1102.01,1.05,5.1,8.1,66.4,0.0,0.0
05/13/2026,1630,/BTC[K26],79820,-1175.00,-1.45%,80875,81530,78815,58.0,0.0,0.0,63940.0,75935.0,76167.0,83883.0,15101.0,8272500.0,5.0,26.0,6.0,2.0,4.0
05/13/2026,1630,/BZ[N26],105.55,-2.22,-2.06%,107.74,108.31,105.31,52.33,0.64,NaN,66.83,101.28,99.02,113.83,-3101.04,-9607.05,10.05,0.2,87.3,0.0,8.3
05/13/2026,1630,/CL[M26],101.00,-1.18,-1.15%,102.16,103.67,100.56,53.75,0.7,0.71,61.87,92.3,92.41,108.97,-2202.05,-8985.05,10.05,73.1,84.3,0.0,8.9
