Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,Volume,RSI,ImpVolatility
05/13/2026,1630,$COMP,26402.3438,+314.1405,+1.20%,26147.6463,26474.1833,25990.1577,<empty>,77.81,NaN
05/13/2026,1630,$DJI,49693.20,-67.36,-0.14%,49674.58,49747.61,49451.00,"491,982,845",60.09,NaN
05/13/2026,1630,$DXY,98.484,+.186,+0.19%,98.309,98.598,98.264,<empty>,50.099,NaN
05/13/2026,1630,/6B[M26],1.3523,-.0009,-0.07%,1.3540,1.3551,1.3482,"84,111",50.7882,0.0712
05/13/2026,1630,/6C[M26],.73060,-.0004,-0.05%,.73125,.73180,.72995,"44,953",46.1089,0.0448
05/13/2026,1630,/6E[M26],1.17305,-.0029,-0.25%,1.17575,1.17600,1.17130,"108,488",49.12203,0.0567
05/13/2026,1630,/6J[M26],.0063515,-.0000125,-0.20%,.0063635,.0063645,.0063460,"70,439",50.3352115,0.0739
05/13/2026,1630,/BTC[K26],79820,-1175.00,-1.45%,80875,81530,78815,"8,810",58.0,0.0
05/13/2026,1630,/BZ[N26],105.55,-2.22,-2.06%,107.74,108.31,105.31,"25,953",52.33,NaN
05/13/2026,1630,/CL[M26],101.00,-1.18,-1.15%,102.16,103.67,100.56,"189,972",53.75,0.71
05/13/2026,1630,/GC[M26],4697.1,+10.40,+0.22%,4722.3,4734.8,4676.0,"111,941",49.1,0.2
05/13/2026,1630,/HG[N26],6.6190,+.088,+1.35%,6.6305,6.7160,6.5810,"58,569",71.7485,0.3576
05/13/2026,1630,/NG[M26],2.868,+.025,+0.88%,2.833,2.927,2.813,"123,910",54.696,0.57
05/13/2026,1630,/NKD[M26],63515,+995.00,+1.59%,62545,63525,62305,"3,926",68.0,NaN
05/13/2026,1630,/SI[N26],88.155,+2.564,+3.00%,87.320,90.105,86.330,"52,735",69.013,0.63
05/13/2026,1630,AAAU,46.23,-.27,-0.58%,46.25,46.44,46.0501,"643,899",49.37,0.26
05/13/2026,1630,AAL,12.71,+.02,+0.16%,12.67,12.77,12.555,"37,121,071",57.62,0.54
05/13/2026,1630,AAPL,298.87,+4.07,+1.38%,293.50,300.92,293.50,"52,539,762",75.59,0.27
05/13/2026,1630,ABBV,208.50,+.64,+0.31%,206.86,209.53,204.30,"5,534,611",52.94,0.29
05/13/2026,1630,ABNB,132.97,-2.51,-1.85%,134.69,134.93,131.95,"3,419,497",41.25,0.38
05/13/2026,1630,ABR,5.88,+.03,+0.51%,5.81,6.00,5.69,"5,623,122",24.21,0.61
05/13/2026,1630,ABT,83.83,-.52,-0.62%,83.40,84.2625,82.69,"11,773,004",26.98,0.3
05/13/2026,1630,ACHC,27.15,+1.13,+4.34%,26.03,27.75,26.00,"3,226,332",55.83,0.64
05/13/2026,1630,ACHR,6.52,+.13,+2.03%,6.29,6.75,6.23,"44,636,148",60.92,0.86
05/13/2026,1630,ACI,16.54,+.62,+3.89%,15.80,16.58,15.79,"6,022,134",49.63,0.36
05/13/2026,1630,ADBE,236.07,-4.76,-1.98%,238.54,239.08,232.84,"3,864,230",41.58,0.55
05/13/2026,1630,ADYEY,10.300,-.38,-3.56%,10.270,10.3167,10.1367,"1,887,970",33.6,NaN
05/13/2026,1630,AFK,28.17,-.40,-1.40%,28.34,28.40,28.09,"48,013",55.7,0.32
05/13/2026,1630,AFRM,63.53,-1.90,-2.90%,64.96,65.00,59.75,"6,858,080",54.09,0.68
05/13/2026,1630,AGCO,115.96,-2.07,-1.75%,118.61,118.61,115.90,"607,828",46.53,0.42
