Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/21/2026,1630,$COMP,26293.0975,+0.09%,,1.212,406.82,<empty>,26707.1412,18599.6866,25675.18,23846.21,23061.13,-5.0,-0.87,-0.15,<empty>,NaN,NaN,NaN,NaN,19.8,1.89,0.78,26474.06,20690.37,26707.05,26707.05,NaN,0
05/21/2026,1630,$DJI,50285.66,+0.55%,,1,328.25,<empty>,50512.79,41354.09,49550.17,48168.47,47574.45,2.0,0.88,0.38,"565,800,938",-100100.44,5.1005014598E8,5.2330653984E8,21.14,8.82,1.39,1.21,50130.1,45057.37,-45057.37,-48709.16,NaN,0
05/21/2026,1630,$DXY,99.188,+0.10%,,<empty>,0.495,<empty>,100.643,95.551,98.565,98.977,98.541,-2.0,0.59,-0.84,<empty>,NaN,NaN,NaN,NaN,0.041,0.948,0.236,101.36,97.62,101.36,-98.11,NaN,0
05/21/2026,1630,/6B[M26],1.3432,+0.05%,,.3089,0.0089,<empty>,1.3869,1.3011,1.3508,1.3432,1.3425,2.0,-0.31,0.16,<empty>,-100000.51,98024.28,105841.8438,-4.799,0.0447,-0.8782,0.0,1.14,1.36,1.14,-1.03,NaN,0
05/21/2026,1630,/6C[M26],.72660,+0.04%,,.2666,0.00279,<empty>,0.74315,0.70845,0.73216,0.72973,0.72569,-1.0,-0.31,-0.24,<empty>,-300106.49,68881.98,73451.46875,5.91363,-0.61551,-0.87312,-0.28818,1.52,1.36,-1.36,1.14,NaN,0
05/21/2026,1630,/6E[M26],1.16290,+0.05%,,.1322,0.00613,<empty>,1.21105,1.12215,1.1718,1.16816,1.17097,1.0,-0.41,0.18,<empty>,-200000.51,187548.28,208314.07813,23.35945,-0.27014,-0.98765,-0.3556,1.24,1.48,1.24,1.11,NaN,0
05/21/2026,1630,/6J[M26],.0063015,+0.06%,,.041,3.86E-5,<empty>,0.007078,0.006243,0.006342,0.0063278,0.0065035,-11.0,-0.59,-0.2,<empty>,200109.12,152132.32,156560.59375,-48.9869451,-0.9198113,-1.4004068,-0.1267929,0.62,0.15,-0.15,0.11,NaN,0
05/21/2026,1630,/BTC[K26],77740,+0.06%,,.9922,1759.0,<empty>,127240.0,60005.0,79039.0,74867.0,91631.0,-8.0,-1.0,0.0,<empty>,100762.0,8552.0,8998.0,-11.0,10.0,-3.0,1.0,83215.0,62591.0,83215.0,83215.0,NaN,0
05/21/2026,1630,/BZ[N26],104.88,+2.24%,,.055,3.6,<empty>,119.4,58.72,107.2,104.12,75.82,-2.0,-0.23,-0.42,<empty>,-101000.53,50711.02,65242.28,36.25,4.37,1.72,-4.03,119.52,69.59,119.52,-96.1,NaN,0
05/21/2026,1630,/CL[N26],98.00,+1.71%,,1.29,2.94,<empty>,119.48,54.98,100.6,98.17,71.27,-2.0,-0.23,-0.46,<empty>,100321.52,340015.9,396915.17,36.22,10.27,0.35,-4.38,119.52,64.59,119.52,-89.11,NaN,0
