Date,Time,Symbol,Last,%Change,StandardDeviation,52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays
5/29/2026,1630,$COMP,26972.62,0.20%,309.6,27094.8025,18985.3026,26155.78,24289.04,23194.31,4,0.86,0.24,<empty>,NaN,NaN,NaN,NaN,29.71,1.27,1.19,26707.1,20690.42,-20690.42,-25217.17,NaN
5/29/2026,1630,$DJI,51032.46,0.72%,490.88,51094.18,41853.62,49916.81,48568.18,47737.53,7,0.96,0.52,"907,942,096",100100.01,5.19E+08,5.23E+08,98.89,12.86,1.94,1.13,50201.1,45057.42,-45057.42,-49009.17,NaN
5/29/2026,1630,$DXY,98.993,0.09%,0.219,100.643,95.551,98.778,98.879,98.576,-9,-0.6,-0.63,<empty>,NaN,NaN,NaN,NaN,-0.562,0.039,-0.228,101.43,98.18,-98.18,100.02,NaN
5/29/2026,1630,/6B[M26],1.3448,-0.10%,0.005,1.3869,1.3011,1.3479,1.3447,1.3425,8,0.32,0.39,"1,374",-100000.57,90712.52,104259.8125,-98.7678,1.6939,0.9307,0.1489,1.2,1.42,1.2,-1.09,NaN
5/29/2026,1630,/6C[M26],0.72525,-0.01%,0.00242,0.74315,0.70845,0.72918,0.72883,0.72559,3,-0.19,0.33,"1,454",-200106.55,64699.22,73430.70313,-97.28366,0.58946,-0.39143,0.28346,1.58,1.42,-1.42,-1.02,NaN
5/29/2026,1630,/6E[M26],1.1661,-0.10%,0.0039,1.21105,1.13575,1.16903,1.1694,1.17085,7,0.4,0.41,"2,659",-200000.57,172393.98,207987,-97.82779,0.57789,0.1675,0.21916,1.3,1.54,1.3,-1.06,NaN
5/29/2026,1630,/6J[M26],0.0062815,-0.09%,2.48E-05,0.007078,0.006243,0.0063307,0.0063232,0.006488,3,-0.36,0.26,"4,336",200109.18,145696.18,152389.8906,-94.5461864,-0.9383378,-0.5226067,0.0477821,0.17,0.21,0.17,-0.02,NaN
5/29/2026,1630,/BTC[M26],74095,0.52%,2475,127240,60005,78297,75182,90300,2,-1,0,188,-100128,8445,8782,-98,8,-6,-1,83215,65090,83215,-72465,NaN
5/29/2026,1630,/BZ[Q26],93.03,2.10%,6.75,119.4,58.72,103.36,103.03,76.69,1,0,0.09,859,-101000.59,45652.14,63496.8,-97.43,-9.92,-14.84,0.18,119.58,77.62,119.58,113.09,NaN
5/29/2026,1630,/CL[N26],89.5,2.45%,5.68,119.48,54.98,97.51,97.49,72.09,1,0,0.23,"7,265",100321.58,307929.48,385846.61,-96.84,-11.87,-11.53,0.1,119.58,70.62,119.58,105.09,NaN
5/29/2026,1630,/GC[Q26],4573.3,-0.43%,71.6,5626.8,3250.5,4595.6,4642.7,4401,5,0.3,0.6,"3,510",0,146587.8,152994.4,-97.5,-2.7,0.7,1.9,5394.6,4100.5,-4100.5,-4396,NaN
5/29/2026,1630,/HG[N26],6.405,0.25%,0.1212,6.716,4.3325,6.3319,6.0181,5.4843,-2,-0.72,-0.36,423,0,43589.02,43987.3594,-99.2902,13.3227,1.8364,1.0651,7.12,5.48,7.12,7.12,NaN
5/29/2026,1630,/NG[N26],3.334,1.34%,0.158,7.439,2.495,2.969,2.844,3.411,4,0.57,0.37,"2,518",0,108616.28,118208.641,-98.362,15.764,12.597,7.966,3.58,2.25,-2.25,-3.16,NaN
5/29/2026,1630,/NKD[M26],66420,0.29%,1929,66780,37295,63018,59084,52452,7,1,1,245,200500,5912,6080,-96,25,7,2,63880,50410,-50410,-59355,NaN
5/29/2026,1630,/SI[N26],75.545,-0.43%,4.448,121.785,33.075,78.345,76.009,66.235,3,-0.24,0.57,"1,594",0,42994.36,44640.531,-97.422,0.265,-0.983,0.881,92.62,61.48,-61.48,-72.02,NaN
5/29/2026,1630,AAAU,44.81,1.07%,0.86,54.71,32.15,45.25,45.66,43.17,2,0.27,0.55,"1,102,243",0,2251678.48,2331710.9,-15.19,0.66,-2.33,0.76,53.62,43.46,-43.46,-43.02,NaN
5/29/2026,1630,AAL,14.64,-0.07%,0.99,16.5,10.09,13.13,12.04,13.05,-2,0.99,-0.85,"71,239,112",-100272.57,6.00E+07,6.89E+07,23.17,43.81,15.28,-1.38,13.29,10.42,-10.42,15.02,37
5/29/2026,1630,AAPL,312.06,-0.14%,6.35,315,195.07,297.54,275.28,263.24,-4,-1,-0.48,"70,026,752",300027.2,4.61E+07,4.47E+07,32.9,26.53,4.64,1.21,303.09,246.42,-246.42,-277.17,42
5/29/2026,1630,ABBV,217.72,-0.42%,4.12,244.81,181.73,210.05,208.23,219.59,-1,0.98,-0.95,"7,620,822",-100136.49,6725892.37,6707165.31,55.03,2.16,3.3,2.16,237.6,191.21,-191.21,220.04,42
5/29/2026,1630,ABNB,133.31,-0.88%,1.52,147.25,110.81,135.72,134.39,128.59,7,-0.35,0.35,"4,207,350",0,3696905.83,3761419.47,-46.35,8.29,-0.27,0.47,147.26,122.39,147.26,-128.06,46
5/29/2026,1630,ABR,5.75,1.95%,0.28,12.575,5.4,6.45,7.21,8.99,10,0.06,0.53,"4,394,651",-401162.13,3974532.98,4181744.52,-63.24,-21.77,-1.54,5.89,9.6,5.03,9.6,-5.02,43
5/29/2026,1630,ABT,85.6,-0.81%,1.81,139.06,81.97,86.32,94.21,116.59,-5,0.57,-0.86,"21,146,667",-100135.49,1.34E+07,1.25E+07,93.77,-15.98,0.82,-1.23,116.62,82.13,-82.13,89.07,32
5/29/2026,1630,ACHC,23.2,-2.36%,1.32,30.1991,11.43,25.08,25.39,20.69,4,-0.21,0.18,"2,763,036",-100568.21,2922503.3,3049452.9,52.51,1.62,-13.43,-1.23,30.18,22.2,30.18,-22.05,41
5/29/2026,1630,ACHR,6.81,0.00%,0.32,14.62,4.8,6.27,5.89,7.98,6,1,0.59,"56,889,622",-100187.04,3.68E+07,3.54E+07,24.61,37.85,6.24,4.61,8.62,5.42,-5.42,-6.17,49
5/29/2026,1630,ACI,15.61,-1.95%,0.47,22.78,15.435,16.27,16.71,17.6,-6,-0.15,-0.35,"9,917,417",-100131.13,6761020.36,6572500.78,150.61,-10.18,-5.45,-0.76,18.37,16.12,18.37,18.07,35
5/29/2026,1630,ADBE,259.21,7.36%,7.2,421.48,224.13,248,244.45,303.93,1,0.72,0.57,"10,808,921",300661.01,5064722.74,5482911.78,194.72,7.5,9.37,7.78,285.59,224.34,-224.34,265.07,9
5/29/2026,1630,ADYEY,10.9,1.11%,0.31,19.94,9.45,10.9,10.71,14.17,-3,-0.82,-0.62,"931,381",100000.13,1666982.96,1741919.33,-75.97,11.57,5.52,-3.28,12.29,9.39,12.29,-10.11,NaN
5/29/2026,1630,AFK,27.6693,0.11%,0.69,30.85,19,27.46,27.01,25.9,6,0.52,0.53,"42,775",-200043.52,65443.63,87037.5,21.83,11.89,-0.68,1.13,30.62,24.48,-24.48,-26.07,NaN
5/29/2026,1630,AFRM,73.65,0.89%,2.97,100,42.095,67.14,59.01,67.37,4,0.85,0.5,"6,453,795",-100679.51,5138734.92,5426191.32,-31.44,71.16,9,6.32,71.14,42.43,-42.43,-60.11,62
5/29/2026,1630,AGCO,112.28,-1.40%,2.2,143.78,95.96,115.61,116.35,113.75,-1,-0.24,-0.49,"927,763",-100144.18,714148.42,707249.43,122.62,-0.33,-4.31,-1.82,137.62,108.48,-108.48,-108.05,42
5/29/2026,1630,AHR,48.89,-1.15%,0.83,54.67,34.03,50.4,49.47,47.33,-3,-0.44,-0.39,"3,614,827",-100128.06,2525590.95,2624542.4,35.67,4.18,-4.4,-4.14,54.56,47.42,-47.42,52.13,47
5/29/2026,1630,AIQUY,41.35,-2.50%,0.74,44.415,36.169,41.54,41.9,40.01,-1,-0.29,-0.58,"131,439",0,184368.36,187238.63,33.68,2.48,0,-2.32,44.32,38.57,44.32,43.02,40
5/29/2026,1630,AKAM,149.54,4.48%,5.14,165.45,69.78,139.93,118.97,94.56,1,-0.76,0.25,"5,655,596",100355.07,6053399.1,5590566.61,-73.69,35.67,-3.94,0.9,165.11,89.32,165.11,165.11,47
5/29/2026,1630,ALB,176.42,0.06%,13.42,221,53.7,186.16,184.47,140.5,5,0.01,0.36,"2,542,588",-100466.16,2092449.17,2076176.82,-18.77,-0.45,-7.68,0.99,221.15,155.48,221.15,-166.07,41
5/29/2026,1630,ALCO,40.65,-2.54%,0.5,45.01,30.89,40.94,41.45,37.58,-1,-0.28,-0.51,"18,920",300200.49,25703.09,27604.65,-2.1,-0.93,-0.76,-1.36,45.35,37.55,45.35,-40.09,50
5/29/2026,1630,ALGN,174.95,0.98%,5.18,208.305,122,165.96,174.07,158.09,9,0.29,0.74,"1,155,008",-100247.5,1071033.31,1158101.33,38.18,5.23,8.98,6.97,200.27,152.06,-152.06,-152.06,41
5/29/2026,1630,ALLY,42.81,0.02%,0.56,47.27,34.3,42.78,42.14,41.51,7,0.49,0.47,"5,014,452",-100133.27,3370575.39,3577910.78,7.67,12.93,1.04,0.16,47.27,36.54,47.27,-41.06,32
