Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,Volume,RSI,ImpVolatility
06/02/2026,1148,$COMP,27144.317,+57.5088,+0.21%,27030.072,27171.286,26932.7729,<empty>,75.57,NaN
06/02/2026,1148,$DJI,51214.94,+136.06,+0.27%,50912.84,51278.08,50829.55,"215,335,636",69.83,NaN
06/02/2026,1148,$DXY,99.158,-.043,-0.04%,99.166,99.226,99.049,<empty>,54.7,NaN
06/02/2026,1148,/6B[M26],1.3472,+.0015,+0.11%,1.3456,1.3482,1.3450,"46,433",50.8546,0.0601
06/02/2026,1148,/6C[M26],.72355,+.0007,+0.10%,.72305,.72425,.72220,"35,234",36.89124,0.0457
06/02/2026,1148,/6E[M26],1.16445,+.0006,+0.05%,1.16385,1.16630,1.16355,"84,466",44.43452,0.0547
06/02/2026,1148,/6J[M26],.0062610,-.0000055,-0.09%,.0062695,.0062720,.0062540,"82,712",36.5504003,0.0874
06/02/2026,1148,/BTC[M26],67345,-4390.00,-6.12%,70975,71705,67290,"5,041",26.0,0.0
06/02/2026,1148,/BZ[Q26],95.00,+.02,+0.02%,95.40,95.51,92.82,"23,848",41.16,NaN
06/02/2026,1148,/CL[N26],92.13,-.03,-0.03%,92.45,92.65,90.12,"110,354",44.57,0.6
06/02/2026,1148,/GC[Q26],4534.8,+28.50,+0.63%,4515.8,4571.3,4492.3,"78,762",44.0,0.2
06/02/2026,1148,/HG[N26],6.6840,+.1315,+2.01%,6.5645,6.6910,6.5275,"32,800",65.8256,0.2901
06/02/2026,1148,/NG[N26],3.141,-.038,-1.20%,3.194,3.228,3.099,"87,866",58.315,0.478
06/02/2026,1148,/NKD[M26],67355,+55.00,+0.08%,67290,67365,65590,"4,098",73.0,NaN
06/02/2026,1148,/SI[N26],76.245,+.991,+1.32%,75.155,77.355,74.770,"22,597",47.964,0.467
06/02/2026,1148,AAAU,44.42,+.245,+0.55%,44.49,44.51,44.28,"441,235",43.27,0.24
06/02/2026,1148,AAL,14.115,-.225,-1.57%,14.46,14.52,14.10,"11,620,478",61.23,0.56
06/02/2026,1148,AAPL,312.74,+6.43,+2.10%,307.46,313.03,306.685,"13,233,126",72.06,0.27
