Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,Volume,RSI,ImpVolatility
05/28/2026,1630,AR,35.81,+.70,+1.99%,35.22,36.47,34.92,"6,588,173",40.7,0.41
05/28/2026,1630,ARE,50.06,+.13,+0.26%,49.62,50.53,49.22,"1,413,088",63.49,0.48
05/28/2026,1630,ARGT,96.05,+.47,+0.49%,95.11,97.06,95.0001,"333,216",61.38,0.29
05/28/2026,1630,ARHS,6.86,+.21,+3.16%,6.63,6.905,6.61,"1,288,831",54.57,NaN
05/28/2026,1630,ARKK,81.01,+3.06,+3.93%,77.65,81.22,77.39,"8,473,860",63.0,0.39
05/28/2026,1630,ARQQ,16.91,+.81,+5.03%,16.00,17.799,15.875,"1,051,286",60.15,1.2
05/28/2026,1630,AS,36.04,-.61,-1.66%,36.07,36.865,35.7522,"4,461,482",55.4,0.5
05/28/2026,1630,ASBFF,25.76,0,0.00%,0,0,0,<empty>,47.51,NaN
05/28/2026,1630,ASO,55.12,+2.26,+4.28%,52.98,55.66,52.695,"1,555,155",56.02,0.53
05/28/2026,1630,ATRO,88.17,+3.16,+3.72%,85.86,90.65,84.365,"524,024",65.45,0.59
05/28/2026,1630,AVB,184.83,-1.40,-0.75%,185.25,186.40,184.75,"799,535",55.87,0.22
05/28/2026,1630,AVGO,426.58,+4.72,+1.12%,421.14,429.68,414.01,"17,784,536",58.44,0.58
05/28/2026,1630,AVO,11.25,-.19,-1.66%,11.48,11.55,11.225,"1,181,855",27.07,0.59
05/28/2026,1630,AVTR,9.15,+.75,+8.93%,8.42,9.30,8.42,"13,511,892",70.39,0.56
05/28/2026,1630,AWI,160.34,+.58,+0.36%,158.44,161.3525,157.64,"277,181",45.39,0.34
05/28/2026,1630,AXP,315.12,+2.58,+0.83%,311.00,315.50,306.23,"3,599,827",51.22,0.3
05/28/2026,1630,AZO,3007.08,-20.40,-0.67%,2990.01,3034.99,2945.00,"556,968",26.49,0.37
05/28/2026,1630,B,41.69,+.44,+1.07%,40.94,42.265,40.33,"13,109,497",50.32,0.48
05/28/2026,1630,BA,228.78,+4.48,+2.00%,224.00,229.91,222.845,"6,511,826",54.21,0.36
05/28/2026,1630,BABA,126.16,-1.60,-1.25%,124.72,126.57,123.54,"11,515,106",39.78,0.42
05/28/2026,1630,BAC,50.77,-.33,-0.65%,50.9233,51.50,50.64,"48,533,670",45.19,0.28
05/28/2026,1630,BALL,56.24,-.27,-0.48%,55.87,56.495,55.475,"2,300,353",39.68,0.29
05/28/2026,1630,BBN,15.98,+.07,+0.44%,15.96,16.02,15.86,"230,489",52.05,NaN
05/28/2026,1630,BBWI,20.36,+.91,+4.68%,19.76,20.585,19.42,"8,242,691",61.74,0.6
05/28/2026,1630,BBY,74.74,+10.20,+15.80%,69.70,77.10,68.49,"14,363,689",79.23,0.4
05/28/2026,1630,BCO,107.08,+.90,+0.85%,105.21,107.42,101.00,"369,654",51.37,0.29
05/28/2026,1630,BDRY,13.15,+.275,+2.14%,12.90,13.15,12.90,"86,021",63.63,0.55
05/28/2026,1630,BEAM,32.80,+.91,+2.85%,31.77,33.39,31.4134,"1,799,501",61.73,0.72
05/28/2026,1630,BEPC,39.86,+.69,+1.76%,39.10,40.28,38.8301,"1,475,961",59.39,0.44
05/28/2026,1630,BIDU,132.05,+2.14,+1.65%,127.10,132.885,126.1725,"2,383,546",50.64,0.54
05/28/2026,1630,BIO,318.22,+12.93,+4.24%,307.25,319.86,305.25,"652,455",73.52,0.41
05/28/2026,1630,BIP,39.56,+.82,+2.12%,38.78,39.73,38.41,"791,309",64.15,0.2
05/28/2026,1630,BIRK,44.07,+1.28,+2.99%,43.73,44.96,42.85,"2,223,527",64.63,0.57
05/28/2026,1630,BITO,10.01,-.20,-1.96%,9.96,10.06,9.88,"128,733,567",37.9,0.37
05/28/2026,1630,BJ,86.00,+1.80,+2.14%,85.57,86.70,84.20,"3,355,795",35.7,0.31
05/28/2026,1630,BJRI,46.50,+.24,+0.52%,46.05,47.07,45.60,"613,854",76.12,0.38
05/28/2026,1630,BK,137.16,0,0.00%,0,0,0,<empty>,64.52,0.29
05/28/2026,1630,BKNG,169.82,+1.45,+0.86%,167.105,169.94,166.61,"7,322,188",55.77,0.41
05/28/2026,1630,BKV,26.63,+.12,+0.45%,26.69,26.80,26.29,"697,415",36.94,0.57
05/28/2026,1630,BLDR,76.72,-.75,-0.97%,76.02,77.31,74.55,"2,471,045",48.98,0.65
05/28/2026,1630,BLK,1046.49,-23.85,-2.23%,1054.98,1062.285,1045.00,"846,084",46.35,0.31
05/28/2026,1630,BLMN,8.32,+.015,+0.18%,8.25,8.385,8.0801,"1,327,158",66.79,0.85
05/28/2026,1630,BLOK,67.08,+.78,+1.18%,65.65,67.29,65.25,"390,042",65.27,0.39
05/28/2026,1630,BNDD,98.2003,+.423697,+0.43%,98.2003,98.2003,98.2003,8,56.58,0.12
05/28/2026,1630,BNO,51.33,+.19,+0.37%,51.97,52.19,49.89,"5,260,513",42.61,0.62
05/28/2026,1630,BOOT,170.77,+5.42,+3.28%,166.02,175.32,162.70,"923,727",62.78,0.52
05/28/2026,1630,BP,41.59,-.06,-0.14%,41.82,41.96,41.115,"10,904,248",33.17,0.35
05/28/2026,1630,BRBR,8.66,+.07,+0.81%,8.60,8.70,8.40,"3,743,324",25.17,0.96
05/28/2026,1630,BRCB,8.50,+.12,+1.43%,8.43,8.63,8.209,"894,514",40.29,1.01
05/28/2026,1630,BRKR,54.39,+5.77,+11.87%,49.10,54.41,48.95,"4,792,850",81.34,0.52
05/28/2026,1630,BROS,56.56,+.65,+1.16%,55.10,56.79,54.80,"2,785,750",57.56,0.52
05/28/2026,1630,BTAL,11.595,-.185,-1.57%,11.80,11.83,11.585,"945,983",33.0,0.43
05/28/2026,1630,BTC,32.42,-.71,-2.14%,32.30,32.56,32.04,"1,869,721",38.15,0.36
05/28/2026,1630,BTC-USD,-69.07,-2.39,+3.58%,-67.14,-65.20,-70.59,"730,608",30.0,0.64
05/28/2026,1630,BTI,62.92,-1.12,-1.75%,63.74,63.90,62.855,"2,709,959",52.65,0.3
05/28/2026,1630,BUD,81.98,-1.98,-2.36%,82.85,83.0499,81.915,"1,837,406",59.78,0.25
05/28/2026,1630,BULL,6.33,+.11,+1.77%,6.11,6.34,5.96,"10,467,686",41.8,0.9
05/28/2026,1630,BURL,300.52,-25.71,-7.88%,281.00,305.495,280.00,"3,050,550",43.93,0.39
05/28/2026,1630,BUXX,20.20,-.018099,-0.09%,20.21,20.25,20.20,"194,087",39.71,NaN
05/28/2026,1630,BXP,60.63,-.09,-0.15%,60.48,61.16,59.94,"851,000",61.77,0.36
05/28/2026,1630,BYD,83.21,+.99,+1.20%,81.68,83.40,81.355,"919,448",53.0,0.31
05/28/2026,1630,BYDDF,11.54,-.09,-0.77%,11.58,11.59,11.50,"130,509",32.55,NaN
05/28/2026,1630,C,124.68,-.71,-0.57%,124.47,125.35,123.235,"7,933,249",49.58,0.34
05/28/2026,1630,CACC,560.41,+7.62,+1.38%,551.72,563.44,542.52,"166,516",64.21,0.58
05/28/2026,1630,CAG,13.38,+.05,+0.38%,13.25,13.585,13.14,"11,858,294",38.7,0.41
05/28/2026,1630,CAH,199.85,+.01,+0.01%,199.54,201.89,197.611,"1,916,326",51.77,0.27
05/28/2026,1630,CAKE,64.26,-.69,-1.06%,64.82,65.515,63.68,"723,366",61.08,0.39
05/28/2026,1630,CAMT,174.78,+5.16,+3.04%,172.01,175.145,168.6375,"257,657",50.07,0.73
05/28/2026,1630,CANE,9.47,-.12,-1.25%,9.46,9.51,9.43,"513,651",39.63,0.33
05/28/2026,1630,CARR,63.81,-.70,-1.09%,63.51,64.43,62.32,"11,959,749",50.41,0.4
05/28/2026,1630,CASY,780.97,-3.41,-0.43%,792.88,802.58,768.55,"679,150",38.2,0.45
05/28/2026,1630,CAT,887.67,-22.26,-2.45%,898.56,905.00,880.47,"2,748,882",55.19,0.41
05/28/2026,1630,CAVA,78.20,-4.00,-4.87%,81.25,82.02,77.13,"3,289,745",42.32,0.55
05/28/2026,1630,CBRL,34.22,-.35,-1.01%,34.46,34.73,33.8101,"473,051",64.61,0.7
05/28/2026,1630,CCK,97.48,-.57,-0.58%,97.18,98.36,96.48,"1,035,782",43.47,0.28
