Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
5/20/2026,1630,$COMP,26270.3593,0.00%,,1.21,462.1,<empty>,26707.1412,18599.6866,25582.45,23774.67,23034.25,-4,-0.89,-0.17,<empty>,NaN,NaN,NaN,NaN,21.35,1.67,0.17,26359.07,20690.36,26707.04,26707.04,NaN,0
5/20/2026,1630,$DJI,50009.35,1.31%,,1,283.13,<empty>,50512.79,41354.09,49501.4,48111.1,47543.58,1,0.86,0.34,"513,237,506",-100100.43,5.07E+08,5.21E+08,-29.99,9.72,0.2,0.98,50130.09,45057.36,50201.04,50201.04,NaN,0
5/20/2026,1630,$DXY,99.19,0.10%,,<empty>,0.495,<empty>,100.643,95.551,98.565,98.977,98.541,-2,0.59,-0.84,<empty>,NaN,NaN,NaN,NaN,0.043,0.95,0.238,101.36,97.62,101.36,-98.11,NaN,0
5/20/2026,1630,/6B[M26],1.343,-0.08%,,0.3089,0.0089,<empty>,1.3869,1.3011,1.3508,1.3432,1.3425,2,-0.31,0.16,"6,814",-100000.51,96457.3,104617.6406,-92.3828,0.0298,-0.8929,-0.0149,1.14,1.36,1.14,-1.03,NaN,0
5/20/2026,1630,/6C[M26],0.7272,-0.13%,,0.2666,0.00273,<empty>,0.74315,0.70845,0.73219,0.72974,0.7257,-1,-0.32,-0.25,"4,302",-300106.49,67545.6,72407.42188,-93.59345,-0.53344,-0.79127,-0.20585,1.52,1.36,-1.36,1.14,NaN,0
5/20/2026,1630,/6E[M26],1.16315,-0.12%,,0.1322,0.00611,<empty>,1.21105,1.12215,1.17181,1.16816,1.17097,1,-0.41,0.18,"11,483",-200000.51,183905.44,205468.1094,-92.68412,-0.2487,-0.96637,-0.33418,1.24,1.48,1.24,1.11,NaN,0
5/20/2026,1630,/6J[M26],0.0063,-0.14%,,0.041,3.87E-05,<empty>,0.007078,0.006243,0.006342,0.0063278,0.0065035,-11,-0.59,-0.2,"17,002",200109.12,150037.16,154923.75,-92.8767743,-0.9433962,-1.4238773,-0.1505666,0.62,0.15,-0.15,0.11,NaN,0
5/20/2026,1630,/BTC[K26],77955,0.32%,,0.9922,1742,<empty>,127240,60005,79050,74871,91632,1,-1,1,902,100762,8397,8877,-91,10,-3,1,83215,62591,83215,83215,NaN,0
5/20/2026,1630,/BZ[N26],105.86,0.80%,,0.055,3.58,<empty>,119.4,58.72,107.25,104.14,75.82,-2,-0.24,-0.43,"1,976",-101000.53,49734.44,64479.33,-94.7,5.34,2.67,-3.13,119.52,69.59,119.52,-96.1,NaN,0
5/20/2026,1630,/CL[N26],99.2,0.96%,,1.29,2.89,<empty>,119.48,54.98,100.66,98.19,71.28,-2,-0.24,-0.47,"15,212",100321.52,333729.48,392003.91,-93.71,11.62,1.58,-3.21,119.52,64.59,119.52,-89.11,NaN,0
