Date,Symbol,Outlook,Outlook Modifier
6/3/2026,BTI,BULLISH,long
6/3/2026,PM,BULLISH,long
6/3/2026,MGM,BULLISH,long
6/3/2026,CZR,BULLISH,long
6/3/2026,RHP,BULLISH,long
6/3/2026,HLT,BULLISH,long
6/3/2026,APLE,BULLISH,long
6/3/2026,MAR,BULLISH,long
6/3/2026,BBWI,BULLISH,long
6/3/2026,V,BULLISH,long
6/3/2026,FCFS,BULLISH,long
6/3/2026,MPC,BULLISH,long
6/3/2026,VLO,BULLISH,long
6/3/2026,MRVL,BULLISH,long
6/3/2026,OLLI,BEARISH,short
6/3/2026,HCA,BEARISH,short
6/3/2026,MA,BEARISH,short bench
6/3/2026,FOUR,BEARISH,short
6/3/2026,FISV,BEARISH,short
6/3/2026,PYPL,BEARISH,short
6/3/2026,ODFL,BEARISH,short
6/3/2026,MSFT,BEARISH,short
6/3/2026,SHAK,NEUTRAL,neutral
