Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/26/2026,1630,$COMP,26656.1806,+1.19%,,1.212,252.88,<empty>,26725.2923,18847.744,25839.0,24017.87,23114.07,1.0,0.85,0.17,<empty>,NaN,NaN,NaN,NaN,21.55,1.45,1.47,26707.07,20690.39,-20690.39,-24492.17,NaN,0
05/26/2026,1630,$DJI,50461.68,-0.23%,,1,349.09,<empty>,50830.24,41828.35,49682.31,48324.57,47638.84,4.0,0.91,0.46,"529,627,818",-100100.46,5.1012898142E8,5.2086409092E8,33.88,8.68,1.52,0.9,50201.07,45057.39,-45057.39,-48763.17,NaN,0
05/26/2026,1630,$DXY,99.152,-0.09%,,<empty>,0.506,<empty>,100.643,95.551,98.659,98.926,98.558,-5.0,0.62,-0.76,<empty>,NaN,NaN,NaN,NaN,-0.714,0.878,-0.047,101.39,97.62,101.39,100.03,NaN,0
05/26/2026,1630,/6B[M26],1.3448,+0.01%,,.3089,0.0089,<empty>,1.3869,1.3011,1.3499,1.3439,1.3426,4.0,0.31,0.26,"80,986",-100000.53,94187.74,105644.125,21.2129,0.6436,-1.183,0.1415,1.16,1.38,1.16,-1.05,NaN,0
05/26/2026,1630,/6C[M26],.72470,-0.01%,,.2666,0.00299,<empty>,0.74315,0.70845,0.73117,0.72941,0.72565,1.0,-0.23,0.2,"66,593",-300106.51,65633.76,73575.03125,37.24856,-0.26835,-1.02431,-0.4943,1.54,1.38,-1.38,1.16,NaN,0
05/26/2026,1630,/6E[M26],1.16420,+0.15%,,.1322,0.00672,<empty>,1.21105,1.12215,1.17061,1.16872,1.17091,3.0,-0.37,0.23,"184,447",-200000.53,181286.44,208451.48438,67.72026,0.33612,-1.35988,0.04727,1.26,1.5,1.26,-1.02,NaN,0
05/26/2026,1630,/6J[M26],.0062865,-0.14%,,.041,4.26E-5,<empty>,0.007078,0.006243,0.0063411,0.0063277,0.0064981,-13.0,-0.5,-0.2,"134,834",200109.14,149489.16,156107.890625,-1.0211048,-0.4513064,-1.4809591,-0.2934179,0.13,0.17,0.13,0.13,NaN,0
05/26/2026,1630,/BTC[K26],75910,+0.18%,,.9922,2091.0,<empty>,127240.0,60005.0,78857.0,75067.0,91222.0,-10.0,-1.0,0.0,"16,007",-100128.0,8642.0,9020.0,138.0,7.0,-8.0,-2.0,83215.0,63941.0,83215.0,83215.0,NaN,0
05/26/2026,1630,/BZ[N26],99.81,-3.60%,,.055,3.18,<empty>,119.4,58.72,106.68,104.09,76.17,-4.0,-0.15,-0.31,"34,527",-101000.55,48869.1,65345.69,-10.37,-3.22,-4.41,-5.35,119.54,69.61,119.54,115.15,NaN,0
05/26/2026,1630,/CL[N26],93.81,-2.89%,,1.29,2.99,<empty>,119.48,54.98,100.56,98.07,71.59,-4.0,-0.14,-0.36,"330,479",100321.54,332825.38,396978.47,53.15,2.76,-4.52,-5.32,119.54,64.61,119.54,-89.13,NaN,0
05/26/2026,1630,/GC[M26],4508.0,-0.34%,,.1486,92.2,<empty>,5626.8,3250.5,4609.0,4669.5,4378.5,1.0,-0.3,0.5,"250,156",0.0,152681.4,153643.3,193.7,0.1,-5.0,-0.8,5434.6,4100.4,-4100.4,-4455.0,NaN,0
05/26/2026,1630,/HG[N26],6.4265,+0.74%,,.037,0.1542,<empty>,6.716,4.3325,6.2487,5.9589,5.4462,1.0,-0.78,0.4,"55,670",0.0,45364.0,44967.6406,81.4715,16.4221,-1.0013,1.4524,7.08,5.44,7.08,7.08,NaN,0
05/26/2026,1630,/NG[M26],2.892,-0.52%,,.5784,0.109,<empty>,7.439,2.495,2.863,2.832,3.404,-4.0,-0.48,-0.31,"44,734",0.0,107905.5,116451.047,-59.335,-3.116,-1.331,-4.649,3.54,2.21,-2.21,3.03,NaN,0
05/26/2026,1630,/NKD[M26],65640,+3.64%,,.352,1218.0,<empty>,65695.0,37295.0,61676.0,58110.0,51989.0,3.0,1.0,0.0,"7,307",200500.0,6028.0,6172.0,100.0,22.0,4.0,7.0,63880.0,50410.0,-50410.0,-58655.0,NaN,0
05/26/2026,1630,/SI[N26],77.325,+1.48%,,.6496,4.536,<empty>,121.785,32.8,78.021,76.146,65.489,1.0,-0.27,0.57,"43,854",0.0,44630.46,46642.75,110.341,8.23,-10.921,1.47,97.59,61.44,-61.44,90.08,NaN,0
05/26/2026,1630,AAAU,44.47,+0.07%,,.1588,0.9,<empty>,54.71,32.15,45.38,45.93,43.0,1.0,-0.27,0.51,"1,414,397",0.0,2275669.82,2352316.67,142.64,-0.51,-4.75,-0.8,53.59,43.43,-43.43,-44.04,NaN,"2,738 M"
